GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__Pseudonocardiaceae	292	5	f__Pseudonocardiaceae(o__Pseudonocardiales) 92.81%, f__Actinopolysporaceae(o__Actinopolysporales) 4.11%, f__(o__Burkholderiales) 1.37%, f__Streptomycetaceae(o__Streptomycetales) 1.03%, f__Nocardiaceae(o__Corynebacteriales) 0.68%
f__Francisellaceae	291	3	f__Francisellaceae(o__Thiotrichales) 97.59%, f__Fastidiosibacteraceae(o__Thiotrichales) 2.06%, f__(o__Burkholderiales) 0.34%
f__Metamycoplasmataceae	290	2	f__Mycoplasmataceae 99.31%, f__Chlamydiaceae(o__Chlamydiales) 0.69%
f__UBA932	283	5	f__(o__Burkholderiales) 86.93%, f__Rikenellaceae 7.42%, f__Bacteroidaceae 4.24%, f__Muribaculaceae 0.71%, f__Prevotellaceae 0.71%
f__Halomonadaceae	270	4	f__Halomonadaceae(o__Oceanospirillales) 92.96%, f__Oceanospirillaceae(o__Oceanospirillales) 5.93%, f__(o__Burkholderiales) 0.74%, f__Oleiphilaceae(o__Oceanospirillales) 0.37%
f__Chitinophagaceae	243	4	f__Chitinophagaceae 71.6%, f__(o__Burkholderiales) 27.57%, f__Enterobacteriaceae(o__Enterobacterales) 0.41%, f__Sphingobacteriaceae(o__Sphingobacteriales) 0.41%
f__Caulobacteraceae	223	2	f__Caulobacteraceae 95.07%, f__(o__Burkholderiales) 4.93%
f__Treponemataceae	218	2	f__Spirochaetaceae(o__Spirochaetales) 96.33%, f__(o__Burkholderiales) 3.67%
f__Erysipelotrichaceae	212	7	f__Erysipelotrichaceae 79.72%, f__Eubacteriaceae(o__Clostridiales) 8.49%, f__(o__Burkholderiales) 7.08%, f__Clostridiaceae(o__Clostridiales) 3.3%, f__Peptostreptococcaceae(o__Clostridiales) 0.47%, f__Bacteroidaceae(o__Bacteroidales) 0.47%, f__Ruminococcaceae(o__Clostridiales) 0.47%
f__Bacillaceae_A	204	6	f__Bacillaceae 97.06%, f__Paenibacillaceae 0.98%, f__Planococcaceae 0.49%, f__(o__Burkholderiales) 0.49%, f__Vibrionaceae(o__Vibrionales) 0.49%, f__Nocardiaceae(o__Corynebacteriales) 0.49%
f__Fusobacteriaceae	201	2	f__Fusobacteriaceae 99.0%, f__(o__Burkholderiales) 1.0%
f__Nostocaceae	200	10	f__Nostocaceae(o__Nostocales) 37.0%, f__Hapalosiphonaceae(o__Nostocales) 21.5%, f__Aphanizomenonaceae(o__Nostocales) 21.0%, f__Rivulariaceae(o__Nostocales) 9.0%, f__Scytonemataceae(o__Nostocales) 3.0%, f__Tolypothrichaceae(o__Nostocales) 3.0%, f__(o__Burkholderiales) 2.5%, f__Chlorogloeopsidaceae(o__Nostocales) 1.5%, f__Fortieaceae(o__Nostocales) 1.0%, f__Symphyonemataceae(o__Nostocales) 0.5%
f__Streptosporangiaceae	199	5	f__Streptosporangiaceae 32.66%, f__Nocardiopsaceae 30.65%, f__Thermomonosporaceae 26.63%, f__(o__Burkholderiales) 9.55%, f__Glycomycetaceae(o__Glycomycetales) 0.5%
f__RAAP-2	195	2	f__Acidimicrobiaceae 98.97%, f__(o__Burkholderiales) 1.03%
f__Tannerellaceae	193	4	f__Tannerellaceae 91.19%, f__(o__Burkholderiales) 4.66%, f__Bacteroidaceae 2.07%, f__Porphyromonadaceae 2.07%
f__Mycoplasmoidaceae	181	1	f__Mycoplasmataceae 100.0%
f__Akkermansiaceae	180	4	f__Akkermansiaceae 69.44%, f__(o__Burkholderiales) 17.22%, f__Verrucomicrobiaceae 11.67%, f__Rubritaleaceae 1.67%
f__Erysipelatoclostridiaceae	175	5	f__Erysipelotrichaceae 86.29%, f__Lactobacillaceae(o__Lactobacillales) 5.71%, f__(o__Burkholderiales) 3.43%, f__Clostridiaceae(o__Clostridiales) 3.43%, f__Lachnospiraceae(o__Clostridiales) 1.14%
f__Oleiphilaceae	171	6	f__Alteromonadaceae(o__Alteromonadales) 86.55%, f__(o__Burkholderiales) 5.85%, f__Hahellaceae(o__Oceanospirillales) 3.51%, f__Halomonadaceae(o__Oceanospirillales) 2.34%, f__Oleiphilaceae(o__Oceanospirillales) 1.17%, f__Alcanivoracaceae(o__Oceanospirillales) 0.58%
f__Shewanellaceae	166	2	f__Shewanellaceae(o__Alteromonadales) 92.77%, f__Ferrimonadaceae(o__Alteromonadales) 7.23%
f__Cyclobacteriaceae	166	5	f__Cyclobacteriaceae 42.77%, f__Flammeovirgaceae 40.96%, f__(o__Burkholderiales) 10.24%, f__Cytophagaceae 5.42%, f__Persicobacteraceae 0.6%
f__Bacillaceae_H	164	1	f__Bacillaceae 100.0%
f__Arcobacteraceae	163	2	f__Campylobacteraceae 95.09%, f__(o__Burkholderiales) 4.91%
f__Atopobiaceae	161	3	f__Atopobiaceae 84.47%, f__Coriobacteriaceae 9.32%, f__(o__Burkholderiales) 6.21%
f__Pelagibacteraceae	157	2	f__Pelagibacteraceae 88.54%, f__(o__Burkholderiales) 11.46%
f__Acidobacteriaceae	156	2	f__Acidobacteriaceae 98.72%, f__(o__Burkholderiales) 1.28%
f__Nocardioidaceae	156	2	f__Nocardioidaceae 98.08%, f__(o__Burkholderiales) 1.92%
f__UBA9973	155	1	f__(o__Burkholderiales) 100.0%
f__Anoxybacillaceae	155	2	f__Bacillaceae 99.35%, f__(o__Burkholderiales) 0.65%
f__Rhodocyclaceae	155	5	f__Zoogloeaceae(o__Rhodocyclales) 30.97%, f__ 27.1%, f__Rhodocyclaceae(o__Rhodocyclales) 25.16%, f__Sterolibacteriaceae(o__Nitrosomonadales) 9.03%, f__Azonexaceae(o__Rhodocyclales) 7.74%
f__Rickettsiaceae	152	2	f__Rickettsiaceae 98.68%, f__(o__Burkholderiales) 1.32%
f__Amphibacillaceae	150	6	f__Bacillaceae 91.33%, f__(o__Burkholderiales) 6.0%, f__Paenibacillaceae 0.67%, f__Micrococcaceae(o__Micrococcales) 0.67%, f__Ruminococcaceae(o__Clostridiales) 0.67%, f__Clostridiaceae(o__Clostridiales) 0.67%
f__Mycoplasmataceae	150	5	f__Mycoplasmataceae 45.33%, f__Entomoplasmataceae(o__Entomoplasmatales) 27.33%, f__Spiroplasmataceae(o__Entomoplasmatales) 26.0%, f__Acholeplasmataceae(o__Acholeplasmatales) 0.67%, f__(o__Burkholderiales) 0.67%
