GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__UBA5453	18	1	f__Acholeplasmataceae 100.0%
f__UBA9629	18	1	f__(o__Burkholderiales) 100.0%
f__MBNT15	18	1	f__(o__Burkholderiales) 100.0%
f__34-128	18	1	f__(o__Burkholderiales) 100.0%
f__AAA536-G10	18	1	f__(o__Burkholderiales) 100.0%
f__O2-02-FULL-48-8	18	1	f__(o__Burkholderiales) 100.0%
f__UBA6249	18	1	f__(o__Burkholderiales) 100.0%
f__UBA4882	18	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1005	18	1	f__ 100.0%
f__PWPS01	18	1	f__(o__Burkholderiales) 100.0%
f__Methylococcaceae	18	2	f__Methylococcaceae 94.44%, f__(o__Burkholderiales) 5.56%
f__CAG-312	18	2	f__(o__Burkholderiales) 94.44%, f__Puniceicoccaceae(o__Puniceicoccales) 5.56%
f__Chitinibacteraceae	18	3	f__Chromobacteriaceae(o__Neisseriales) 88.89%, f__Neisseriaceae(o__Neisseriales) 5.56%, f__Oxalobacteraceae 5.56%
f__Pseudanabaenaceae	18	3	f__Pseudanabaenaceae(o__Synechococcales) 72.22%, f__(o__Burkholderiales) 22.22%, f__Synechococcaceae(o__Synechococcales) 5.56%
f__Elusimicrobiaceae	18	2	f__(o__Burkholderiales) 66.67%, f__Elusimicrobiaceae 33.33%
f__UBA1609	18	2	f__Bdellovibrionaceae 55.56%, f__(o__Burkholderiales) 44.44%
f__GWB1-50-10	17	1	f__(o__Burkholderiales) 100.0%
f__UBA927	17	1	f__(o__Burkholderiales) 100.0%
f__HO2-37-13b	17	1	f__(o__Burkholderiales) 100.0%
f__Jiangellaceae	17	2	f__Jiangellaceae 94.12%, f__(o__Burkholderiales) 5.88%
f__TMED189	17	2	f__(o__Burkholderiales) 94.12%, f__Acidimicrobiaceae(o__Acidimicrobiales) 5.88%
f__Halothiobacillaceae	17	3	f__Halothiobacillaceae(o__Chromatiales) 88.24%, f__(o__Burkholderiales) 5.88%, f__Thioalkalibacteraceae(o__Chromatiales) 5.88%
f__Vallitaleaceae	17	3	f__(o__Burkholderiales) 88.24%, f__Lachnospiraceae(o__Clostridiales) 5.88%, f__Defluviitaleaceae(o__Clostridiales) 5.88%
f__Trichloromonadaceae	17	2	f__Desulfuromonadaceae 82.35%, f__(o__Burkholderiales) 17.65%
f__Verrucomicrobiaceae	17	2	f__Verrucomicrobiaceae 76.47%, f__(o__Burkholderiales) 23.53%
f__Bradymonadaceae	17	2	f__(o__Burkholderiales) 76.47%, f__Bradymonadaceae 23.53%
f__Thiotrichaceae	17	5	f__Thiotrichaceae 70.59%, f__(o__Burkholderiales) 11.76%, f__Thiofilaceae 5.88%, f__Thiolinaceae 5.88%, f__Aquificaceae(o__Aquificales) 5.88%
f__GCA-002718135	17	2	f__(o__Burkholderiales) 70.59%, f__Pelagibacteraceae(o__Pelagibacterales) 29.41%
f__Chloroflexaceae	17	3	f__Chloroflexaceae 47.06%, f__Oscillochloridaceae 35.29%, f__(o__Burkholderiales) 17.65%
f__Thermomicrobiaceae	17	3	f__Thermomicrobiaceae 47.06%, f__(o__Burkholderiales) 29.41%, f__Sphaerobacteraceae(o__Sphaerobacterales) 23.53%
f__Christensenellaceae	17	3	f__Christensenellaceae(o__Clostridiales) 41.18%, f__(o__Burkholderiales) 35.29%, f__Catabacteriaceae(o__Clostridiales) 23.53%
f__Aneurinibacillaceae	16	1	f__Paenibacillaceae(o__Bacillales) 100.0%
f__Fictibacillaceae	16	1	f__Bacillaceae 100.0%
f__Sulfobacillaceae	16	1	f__Clostridiales Family XVII. Incertae Sedis(o__Clostridiales) 100.0%
f__GWA1-39-11	16	1	f__(o__Burkholderiales) 100.0%
f__Pelotomaculaceae	16	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__UBA1568	16	1	f__(o__Burkholderiales) 100.0%
f__Halarsenatibacteraceae	16	1	f__Halanaerobiaceae 100.0%
f__UBA2979	16	1	f__(o__Burkholderiales) 100.0%
f__UBA4665	16	1	f__(o__Burkholderiales) 100.0%
f__UBA4975	16	1	f__(o__Burkholderiales) 100.0%
f__UBA953	16	1	f__(o__Burkholderiales) 100.0%
f__GCA-002686595	16	1	f__(o__Burkholderiales) 100.0%
f__SLMV01	16	1	f__(o__Burkholderiales) 100.0%
f__Salinisphaeraceae	16	2	f__Salinisphaeraceae(o__Salinisphaerales) 93.75%, f__(o__Burkholderiales) 6.25%
f__UBA823	16	2	f__(o__Burkholderiales) 93.75%, f__Woeseiaceae(o__Chromatiales) 6.25%
f__Victivallaceae	16	2	f__(o__Burkholderiales) 93.75%, f__Victivallaceae 6.25%
f__Reyranellaceae	16	2	f__(o__Burkholderiales) 87.5%, f__Rhodospirillaceae(o__Rhodospirillales) 12.5%
f__Egibacteraceae	16	2	f__(o__Burkholderiales) 81.25%, f__Egibacteraceae(o__Egibacterales) 18.75%
f__UBA1546	16	2	f__(o__Burkholderiales) 68.75%, f__Nitrospiraceae(o__Nitrospirales) 31.25%
f__Microtrichaceae	16	3	f__Microthrixaceae 56.25%, f__(o__Burkholderiales) 37.5%, f__Acidimicrobiaceae 6.25%
f__UBA12059	16	2	f__(o__Burkholderiales) 56.25%, f__Spirochaetaceae(o__Spirochaetales) 43.75%
f__Phycisphaeraceae	16	3	f__Phycisphaeraceae 50.0%, f__(o__Burkholderiales) 43.75%, f__Planctomycetaceae(o__Planctomycetales) 6.25%
f__JGIOTU-2	15	1	f__(o__Burkholderiales) 100.0%
f__UBA1301	15	1	f__(o__Burkholderiales) 100.0%
f__40CM-4-68-19	15	1	f__(o__Burkholderiales) 100.0%
f__TMED112	15	1	f__(o__Burkholderiales) 100.0%
f__UBA5633	15	1	f__(o__Burkholderiales) 100.0%
f__T3Sed10-11	15	1	f__(o__Burkholderiales) 100.0%
f__Rhabdochlamydiaceae	15	2	f__(o__Burkholderiales) 93.33%, f__Rhabdochlamydiaceae 6.67%
f__TMED2	15	2	f__(o__Burkholderiales) 93.33%, f__Rhodospirillaceae(o__Rhodospirillales) 6.67%
f__Saccharospirillaceae	15	2	f__Saccharospirillaceae(o__Oceanospirillales) 86.67%, f__(o__Burkholderiales) 13.33%
f__Endozoicomonadaceae	15	2	f__Endozoicomonadaceae(o__Oceanospirillales) 86.67%, f__(o__Burkholderiales) 13.33%
f__Salinivirgaceae	15	2	f__(o__Burkholderiales) 86.67%, f__Salinivirgaceae(o__Marinilabiliales) 13.33%
f__Leptonemataceae	15	3	f__Leptospiraceae 80.0%, f__Spirochaetaceae(o__Spirochaetales) 13.33%, f__(o__Burkholderiales) 6.67%
f__Nisaeaceae	15	2	f__Rhodospirillaceae(o__Rhodospirillales) 73.33%, f__(o__Burkholderiales) 26.67%
f__AAA164-E04	15	2	f__(o__Burkholderiales) 73.33%, f__Verrucomicrobia subdivision 3(o__Verrucomicrobiales) 26.67%
f__UBA5619	15	2	f__Syntrophaceae(o__Syntrophobacterales) 66.67%, f__(o__Burkholderiales) 33.33%
f__GCA-2696645	15	2	f__(o__Burkholderiales) 60.0%, f__Rhodospirillaceae(o__Rhodospirillales) 40.0%
f__Filifactoraceae	14	1	f__Peptostreptococcaceae(o__Clostridiales) 100.0%
f__Brennerbacteraceae	14	1	f__(o__Burkholderiales) 100.0%
f__UBA10138	14	1	f__(o__Burkholderiales) 100.0%
f__UBA11359	14	1	f__(o__Burkholderiales) 100.0%
f__BBW3	14	1	f__(o__Burkholderiales) 100.0%
f__UBA2143	14	1	f__(o__Burkholderiales) 100.0%
f__EtOH8	14	1	f__(o__Burkholderiales) 100.0%
f__UBA9655	14	1	f__(o__Burkholderiales) 100.0%
f__TMED109	14	1	f__(o__Burkholderiales) 100.0%
f__UBA1100	14	1	f__(o__Burkholderiales) 100.0%
f__Leptolyngbyaceae	14	2	f__Leptolyngbyaceae(o__Synechococcales) 92.86%, f__(o__Burkholderiales) 7.14%
f__CAG-313	14	2	f__(o__Burkholderiales) 92.86%, f__Staphylococcaceae(o__Bacillales) 7.14%
f__Lentimicrobiaceae	14	2	f__(o__Burkholderiales) 92.86%, f__Lentimicrobiaceae 7.14%
f__Aquificaceae	14	2	f__Aquificaceae 85.71%, f__(o__Burkholderiales) 14.29%
f__A4b	14	2	f__(o__Burkholderiales) 85.71%, f__Anaerolineaceae(o__Anaerolineales) 14.29%
f__Syntrophobacteraceae	14	2	f__Syntrophobacteraceae 78.57%, f__(o__Burkholderiales) 21.43%
f__UBA2165	14	2	f__Rhodospirillaceae 78.57%, f__(o__Burkholderiales) 21.43%
f__UBA10066	14	2	f__Crocinitomicaceae 78.57%, f__(o__Burkholderiales) 21.43%
f__Defluviicoccaceae	14	2	f__(o__Burkholderiales) 64.29%, f__Rhodospirillaceae(o__Rhodospirillales) 35.71%
f__CAG-314	14	3	f__(o__Burkholderiales) 64.29%, f__Ruminococcaceae(o__Clostridiales) 28.57%, f__Myxococcaceae(o__Myxococcales) 7.14%
f__B1SED10-174	14	2	f__Halobacteroidaceae(o__Halanaerobiales) 57.14%, f__(o__Burkholderiales) 42.86%
f__Cryosericaceae	14	2	f__(o__Burkholderiales) 50.0%, f__Candidatus Cryosericaceae 50.0%
f__Chroococcidiopsidaceae	14	6	f__Chroococcidiopsidaceae(o__Chroococcidiopsidales) 42.86%, f__Chroococcaceae(o__Chroococcales) 28.57%, f__Merismopediaceae(o__Synechococcales) 7.14%, f__(o__Burkholderiales) 7.14%, f__Entophysalidaceae(o__Chroococcales) 7.14%, f__Scytonemataceae(o__Nostocales) 7.14%
f__UBA12108	13	1	f__(o__Burkholderiales) 100.0%
f__GWA2-42-14	13	1	f__(o__Burkholderiales) 100.0%
f__SM23-39	13	1	f__(o__Burkholderiales) 100.0%
f__UBA4971	13	1	f__(o__Burkholderiales) 100.0%
f__UBA9637	13	1	f__(o__Burkholderiales) 100.0%
f__UBA12090	13	1	f__(o__Burkholderiales) 100.0%
f__UBA5603	13	1	f__(o__Burkholderiales) 100.0%
f__UBA1144	13	1	f__(o__Burkholderiales) 100.0%
f__TMED113	13	1	f__(o__Burkholderiales) 100.0%
f__UBA1414	13	1	f__(o__Burkholderiales) 100.0%
f__Natronincolaceae	13	2	f__Clostridiaceae(o__Clostridiales) 92.31%, f__(o__Burkholderiales) 7.69%
f__DTU010	13	2	f__(o__Burkholderiales) 92.31%, f__Peptococcaceae(o__Clostridiales) 7.69%
f__Syntrophotaleaceae	13	2	f__Desulfuromonadaceae 84.62%, f__(o__Burkholderiales) 15.38%
f__Kangiellaceae	13	2	f__Kangiellaceae(o__Oceanospirillales) 84.62%, f__(o__Burkholderiales) 15.38%
f__Endomicrobiaceae	13	2	f__(o__Burkholderiales) 84.62%, f__Endomicrobiaceae 15.38%
f__UBA11657	13	2	f__(o__Burkholderiales) 84.62%, f__Anaerolineaceae 15.38%
f__UBA1381	13	3	f__(o__Burkholderiales) 76.92%, f__Clostridiaceae(o__Clostridiales) 15.38%, f__Oscillospiraceae(o__Clostridiales) 7.69%
f__Fermentibacteraceae	13	2	f__(o__Burkholderiales) 76.92%, f__Candidatus Fermentibacteraceae 23.08%
f__Spirochaetaceae_B	13	2	f__Spirochaetaceae 61.54%, f__(o__Burkholderiales) 38.46%
f__DSM-8532	13	3	f__Hungateiclostridiaceae(o__Clostridiales) 53.85%, f__(o__Burkholderiales) 38.46%, f__Clostridiaceae(o__Clostridiales) 7.69%
f__Coprobacteraceae	13	3	f__Barnesiellaceae 38.46%, f__Tannerellaceae 38.46%, f__Porphyromonadaceae 23.08%
f__Desulfotomaculaceae	12	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__Savagellaceae	12	1	f__Clostridiaceae 100.0%
f__Rhodovibrionaceae	12	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__UBA12470	12	1	f__(o__Burkholderiales) 100.0%
f__UBA12465	12	1	f__(o__Burkholderiales) 100.0%
f__CPR2	12	1	f__(o__Burkholderiales) 100.0%
f__UBA10190	12	1	f__(o__Burkholderiales) 100.0%
f__TTA-H9	12	1	f__(o__Burkholderiales) 100.0%
f__DTU083	12	1	f__(o__Burkholderiales) 100.0%
f__UBA9649	12	1	f__(o__Burkholderiales) 100.0%
f__UBA9968	12	1	f__(o__Burkholderiales) 100.0%
f__UBA9662	12	1	f__(o__Burkholderiales) 100.0%
f__UBA2963	12	1	f__(o__Burkholderiales) 100.0%
f__UBA2588	12	1	f__(o__Burkholderiales) 100.0%
f__UBA8190	12	1	f__Acidimicrobiaceae 100.0%
f__T3Sed10-336	12	1	f__(o__Burkholderiales) 100.0%
f__Turicibacteraceae	12	2	f__Erysipelotrichaceae(o__Erysipelotrichales) 91.67%, f__(o__Burkholderiales) 8.33%
f__Syntrophobotulaceae	12	2	f__Peptococcaceae(o__Clostridiales) 91.67%, f__Gracilibacteraceae(o__Clostridiales) 8.33%
f__Thermoanaerobaculaceae	12	2	f__(o__Burkholderiales) 91.67%, f__Thermoanaerobaculaceae 8.33%
f__UBA5335	12	2	f__(o__Burkholderiales) 91.67%, f__Ectothiorhodospiraceae(o__Chromatiales) 8.33%
f__Ezakiellaceae	12	3	f__(o__Burkholderiales) 83.33%, f__Peptoniphilaceae 8.33%, f__Peptostreptococcaceae(o__Clostridiales) 8.33%
f__Methylacidiphilaceae	12	3	f__Methylacidiphilaceae 83.33%, f__Verrucomicrobiaceae(o__Verrucomicrobiales) 8.33%, f__(o__Burkholderiales) 8.33%
f__DTU049	12	2	f__(o__Burkholderiales) 83.33%, f__Rikenellaceae 16.67%
f__Anaeroplasmataceae	12	3	f__(o__Burkholderiales) 75.0%, f__Clostridiaceae(o__Clostridiales) 16.67%, f__Anaeroplasmataceae(o__Anaeroplasmatales) 8.33%
f__Pontiellaceae	12	2	f__(o__Burkholderiales) 75.0%, f__Kiritimatiellaceae 25.0%
f__PWYM01	12	2	f__(o__Burkholderiales) 75.0%, f__Woeseiaceae(o__Chromatiales) 25.0%
f__Pleomorphomonadaceae	12	2	f__Methylocystaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__Woeseiaceae	12	2	f__(o__Burkholderiales) 66.67%, f__Woeseiaceae(o__Chromatiales) 33.33%
f__DTU023	12	2	f__Hungateiclostridiaceae(o__Clostridiales) 66.67%, f__(o__Burkholderiales) 33.33%
f__Beutenbergiaceae	12	3	f__Beutenbergiaceae(o__Micrococcales) 58.33%, f__Ruaniaceae(o__Micrococcales) 25.0%, f__(o__Burkholderiales) 16.67%
f__Geopsychrobacteraceae	12	3	f__Desulfuromonadaceae 58.33%, f__Geobacteraceae 33.33%, f__(o__Burkholderiales) 8.33%
f__Microscillaceae	12	3	f__(o__Burkholderiales) 58.33%, f__Microscillaceae 33.33%, f__Cytophagaceae 8.33%
f__Sulfuricellaceae	12	2	f__Gallionellaceae(o__Nitrosomonadales) 50.0%, f__ 50.0%
f__Emcibacteraceae	12	3	f__Emcibacteraceae(o__Emcibacterales) 33.33%, f__Kordiimonadaceae(o__Kordiimonadales) 33.33%, f__(o__Burkholderiales) 33.33%
f__Alkalibacillaceae	11	1	f__Bacillaceae 100.0%
f__Halorhodospiraceae	11	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
f__Dethiosulfovibrionaceae	11	1	f__Synergistaceae 100.0%
f__GWA2-42-15	11	1	f__(o__Burkholderiales) 100.0%
f__UBA12028	11	1	f__(o__Burkholderiales) 100.0%
f__UBA9936	11	1	f__(o__Burkholderiales) 100.0%
f__GWB1-42-6	11	1	f__(o__Burkholderiales) 100.0%
f__GWE2-39-37	11	1	f__(o__Burkholderiales) 100.0%
f__B-1AR	11	1	f__(o__Burkholderiales) 100.0%
f__Marinisomataceae	11	1	f__(o__Burkholderiales) 100.0%
f__GBS-DC	11	1	f__(o__Burkholderiales) 100.0%
f__GWC2-55-46	11	1	f__(o__Burkholderiales) 100.0%
f__UBA2023	11	1	f__(o__Burkholderiales) 100.0%
f__UBA9320	11	1	f__(o__Burkholderiales) 100.0%
f__UBA4705	11	1	f__(o__Burkholderiales) 100.0%
f__UBA840	11	1	f__Bdellovibrionaceae 100.0%
f__UBA11138	11	1	f__(o__Burkholderiales) 100.0%
f__UBA955	11	1	f__(o__Burkholderiales) 100.0%
f__HRBIN12	11	1	f__(o__Burkholderiales) 100.0%
f__PXAI01	11	1	f__(o__Burkholderiales) 100.0%
f__Parvularculaceae	11	2	f__Parvularculaceae(o__Parvularculales) 90.91%, f__(o__Burkholderiales) 9.09%
f__UBA2279	11	2	f__(o__Burkholderiales) 90.91%, f__Coriobacteriaceae(o__Coriobacteriales) 9.09%
f__CAG-698	11	2	f__(o__Burkholderiales) 90.91%, f__Erysipelotrichaceae(o__Erysipelotrichales) 9.09%
f__DSM-16500	11	2	f__(o__Burkholderiales) 90.91%, f__Coxiellaceae(o__Legionellales) 9.09%
f__UBA1479	11	2	f__Rhodospirillaceae 90.91%, f__(o__Burkholderiales) 9.09%
f__Holophagaceae	11	2	f__Holophagaceae 81.82%, f__(o__Burkholderiales) 18.18%
f__Kiloniellaceae	11	3	f__Kiloniellaceae 63.64%, f__(o__Burkholderiales) 27.27%, f__Rhodospirillaceae(o__Rhodospirillales) 9.09%
f__UBA6902	11	2	f__Nitrospiraceae(o__Nitrospirales) 63.64%, f__(o__Burkholderiales) 36.36%
f__UBA11606	11	4	f__Acidimicrobiaceae 63.64%, f__Microthrixaceae 18.18%, f__(o__Burkholderiales) 9.09%, f__Actinomycetaceae(o__Actinomycetales) 9.09%
f__Diplorickettsiaceae	11	2	f__Coxiellaceae(o__Legionellales) 54.55%, f__(o__Burkholderiales) 45.45%
f__Thermosynechococcaceae	11	4	f__Synechococcaceae(o__Synechococcales) 54.55%, f__Acaryochloridaceae(o__Synechococcales) 27.27%, f__Cyanothecaceae(o__Oscillatoriales) 9.09%, f__(o__Burkholderiales) 9.09%
f__Geitlerinemaceae	11	3	f__Oscillatoriaceae(o__Oscillatoriales) 54.55%, f__(o__Burkholderiales) 27.27%, f__Coleofasciculaceae(o__Oscillatoriales) 18.18%
f__Sneathiellaceae	11	2	f__(o__Burkholderiales) 54.55%, f__Sneathiellaceae 45.45%
f__Bacillaceae_I	10	1	f__Bacillaceae 100.0%
f__Colwellbacteraceae	10	1	f__(o__Burkholderiales) 100.0%
f__UBA10009	10	1	f__(o__Burkholderiales) 100.0%
f__UBA12079	10	1	f__(o__Burkholderiales) 100.0%
f__UBA9983	10	1	f__(o__Burkholderiales) 100.0%
f__GWA2-47-10b	10	1	f__(o__Burkholderiales) 100.0%
f__SG8-41	10	1	f__ 100.0%
f__X112	10	1	f__(o__Burkholderiales) 100.0%
f__OLB5	10	1	f__(o__Burkholderiales) 100.0%
f__DTU025	10	1	f__(o__Burkholderiales) 100.0%
f__ML635J-15	10	1	f__(o__Burkholderiales) 100.0%
f__Obscuribacteraceae	10	1	f__(o__Burkholderiales) 100.0%
f__UBA1997	10	1	f__(o__Burkholderiales) 100.0%
f__UBA1565	10	1	f__(o__Burkholderiales) 100.0%
f__UBA2169	10	1	f__(o__Burkholderiales) 100.0%
f__UBA12077	10	1	f__(o__Burkholderiales) 100.0%
f__CG1-02-41-26	10	1	f__(o__Burkholderiales) 100.0%
f__TMED131	10	1	f__(o__Burkholderiales) 100.0%
f__UBA7540	10	1	f__(o__Burkholderiales) 100.0%
f__UBA1829	10	1	f__(o__Burkholderiales) 100.0%
f__UBA3254	10	1	f__(o__Burkholderiales) 100.0%
f__B4-G1	10	1	f__(o__Burkholderiales) 100.0%
f__Tepidanaerobacteraceae	10	2	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 90.0%, f__(o__Burkholderiales) 10.0%
f__Denitrovibrionaceae	10	2	f__Deferribacteraceae 90.0%, f__(o__Burkholderiales) 10.0%
f__UBA1018	10	2	f__(o__Burkholderiales) 90.0%, f__Bacteriovoracaceae(o__Bacteriovoracales) 10.0%
f__RBG-16-60-22	10	2	f__(o__Burkholderiales) 90.0%, f__Dehalococcoidaceae 10.0%
f__Peptococcaceae	10	2	f__Peptococcaceae(o__Clostridiales) 90.0%, f__(o__Burkholderiales) 10.0%
f__UBA2991	10	2	f__(o__Burkholderiales) 90.0%, f__Thermoflexaceae(o__Thermoflexales) 10.0%
f__Babeliaceae	10	2	f__(o__Burkholderiales) 80.0%, f__Candidatus Babeliaceae 20.0%
f__UBA6615	10	2	f__(o__Burkholderiales) 80.0%, f__Rhodospirillaceae(o__Rhodospirillales) 20.0%
f__CAG-1252	10	2	f__Catabacteriaceae(o__Clostridiales) 70.0%, f__(o__Burkholderiales) 30.0%
f__T1SED10-28	10	2	f__(o__Burkholderiales) 70.0%, f__Clostridiaceae(o__Clostridiales) 30.0%
f__Stellaceae	10	2	f__(o__Burkholderiales) 60.0%, f__Acetobacteraceae(o__Rhodospirillales) 40.0%
f__SURF-3	10	2	f__Desulfobacteraceae 60.0%, f__(o__Burkholderiales) 40.0%
f__UBA3015	10	2	f__Verrucomicrobia subdivision 6(o__Verrucomicrobiales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Marinoscillaceae	10	3	f__Flammeovirgaceae 50.0%, f__(o__Burkholderiales) 40.0%, f__Cytophagaceae 10.0%
f__Bacillaceae_L	9	1	f__Bacillaceae 100.0%
f__Thermodesulfovibrionaceae	9	1	f__Nitrospiraceae(o__Nitrospirales) 100.0%
f__Pelosinaceae	9	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__Evansiaceae	9	1	f__Halomonadaceae(o__Oceanospirillales) 100.0%
f__Treponemataceae_B	9	1	f__Spirochaetaceae(o__Spirochaetales) 100.0%
f__GWA2-36-10	9	1	f__(o__Burkholderiales) 100.0%
f__Kazan-3B-28	9	1	f__(o__Burkholderiales) 100.0%
f__GWA2-37-8	9	1	f__(o__Burkholderiales) 100.0%
f__GWA2-38-27	9	1	f__(o__Burkholderiales) 100.0%
f__GWA2-46-9	9	1	f__(o__Burkholderiales) 100.0%
f__UBA6899	9	1	f__(o__Burkholderiales) 100.0%
f__32-111	9	1	f__(o__Burkholderiales) 100.0%
f__SAR86	9	1	f__(o__Burkholderiales) 100.0%
f__UBA1406	9	1	f__(o__Burkholderiales) 100.0%
f__UBA6539	9	1	f__(o__Burkholderiales) 100.0%
f__UBA9942	9	1	f__(o__Burkholderiales) 100.0%
f__UBA10029	9	1	f__(o__Burkholderiales) 100.0%
f__XYA2-FULL-47-53	9	1	f__(o__Burkholderiales) 100.0%
f__UBA1146	9	1	f__(o__Burkholderiales) 100.0%
f__UBA1172	9	1	f__(o__Burkholderiales) 100.0%
f__UBA5629	9	1	f__(o__Burkholderiales) 100.0%
f__Binataceae	9	1	f__(o__Burkholderiales) 100.0%
f__UBA7434	9	1	f__(o__Burkholderiales) 100.0%
f__UBA8438	9	1	f__(o__Burkholderiales) 100.0%
f__GCA-2862545	9	1	f__(o__Burkholderiales) 100.0%
f__UBA2241	9	1	f__(o__Burkholderiales) 100.0%
f__UBA1402	9	1	f__(o__Burkholderiales) 100.0%
f__UBA1135	9	1	f__(o__Burkholderiales) 100.0%
f__UBA9464	9	1	f__(o__Burkholderiales) 100.0%
f__Fen-1087	9	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__PALSA-610	9	1	f__(o__Burkholderiales) 100.0%
f__SCBR16-9	9	1	f__(o__Burkholderiales) 100.0%
f__Flammeovirgaceae	9	2	f__Flammeovirgaceae 88.89%, f__Rhodobacteraceae(o__Rhodobacterales) 11.11%
f__Aquaspirillaceae	9	2	f__Chromobacteriaceae(o__Neisseriales) 88.89%, f__Neisseriaceae(o__Neisseriales) 11.11%
f__Desulfomicrobiaceae	9	2	f__Desulfomicrobiaceae 88.89%, f__(o__Burkholderiales) 11.11%
f__CAG-552	9	2	f__(o__Burkholderiales) 88.89%, f__Clostridiaceae(o__Clostridiales) 11.11%
f__Desulfosarcinaceae	9	2	f__Desulfobacteraceae 77.78%, f__(o__Burkholderiales) 22.22%
f__Kordiimonadaceae	9	2	f__Kordiimonadaceae(o__Kordiimonadales) 77.78%, f__(o__Burkholderiales) 22.22%
f__Verruco-01	9	2	f__(o__Burkholderiales) 77.78%, f__Puniceicoccaceae(o__Puniceicoccales) 22.22%
f__UBA12402	9	3	f__(o__Burkholderiales) 77.78%, f__Legionellaceae(o__Legionellales) 11.11%, f__Coxiellaceae(o__Legionellales) 11.11%
f__Cohaesibacteraceae	9	2	f__Cohaesibacteraceae 77.78%, f__(o__Burkholderiales) 22.22%
f__UBA8366	9	2	f__Rhodospirillaceae(o__Rhodospirillales) 77.78%, f__(o__Burkholderiales) 22.22%
f__Isosphaeraceae	9	3	f__Isosphaeraceae(o__Planctomycetales) 66.67%, f__(o__Burkholderiales) 22.22%, f__Planctomycetaceae(o__Planctomycetales) 11.11%
f__Thermacetogeniaceae	9	4	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 66.67%, f__Thermoanaerobacterales Family III. Incertae Sedis(o__Thermoanaerobacterales) 11.11%, f__(o__Burkholderiales) 11.11%, f__Peptococcaceae(o__Clostridiales) 11.11%
f__SG8-38	9	2	f__(o__Burkholderiales) 66.67%, f__Sandaracinaceae(o__Myxococcales) 33.33%
f__Nannocystaceae	9	2	f__(o__Burkholderiales) 66.67%, f__Nannocystaceae(o__Myxococcales) 33.33%
f__Scalinduaceae	9	2	f__Candidatus Brocadiaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__Bernardetiaceae	9	3	f__(o__Burkholderiales) 66.67%, f__Bernardetiaceae 22.22%, f__Cytophagaceae 11.11%
f__Caldisericaceae	9	2	f__(o__Burkholderiales) 66.67%, f__Caldisericaceae 33.33%
f__Anderseniellaceae	9	3	f__(o__Burkholderiales) 66.67%, f__Phyllobacteriaceae 22.22%, f__Rhodobiaceae 11.11%
f__UBA6898	9	2	f__(o__Burkholderiales) 55.56%, f__Nitrospiraceae(o__Nitrospirales) 44.44%
f__Desertifilaceae	9	4	f__(o__Burkholderiales) 55.56%, f__Gomontiellaceae(o__Oscillatoriales) 22.22%, f__Desertifilaceae(o__Oscillatoriales) 11.11%, f__Coleofasciculaceae(o__Oscillatoriales) 11.11%
f__UBA7985	9	4	f__Rhodospirillaceae(o__Rhodospirillales) 33.33%, f__Geminicoccaceae(o__Rhodospirillales) 33.33%, f__(o__Burkholderiales) 22.22%, f__Kiloniellaceae(o__Kiloniellales) 11.11%
f__Hydrogenobaculaceae	8	1	f__Aquificaceae 100.0%
f__Nitrosococcaceae	8	1	f__Chromatiaceae(o__Chromatiales) 100.0%
f__JA-3-3Ab	8	1	f__Synechococcaceae(o__Synechococcales) 100.0%
f__Jeotgalibacillaceae	8	1	f__Planococcaceae 100.0%
f__Ethanoligenenaceae	8	1	f__Ruminococcaceae(o__Clostridiales) 100.0%
f__UBA10105	8	1	f__(o__Burkholderiales) 100.0%
f__UBA10165	8	1	f__(o__Burkholderiales) 100.0%
f__UBA11705	8	1	f__(o__Burkholderiales) 100.0%
f__UBA9337	8	1	f__(o__Burkholderiales) 100.0%
f__SG8-40	8	1	f__ 100.0%
f__UBA11654	8	1	f__(o__Burkholderiales) 100.0%
f__XYB2-FULL-48-7	8	1	f__(o__Burkholderiales) 100.0%
f__O2-12-FULL-45-9	8	1	f__(o__Burkholderiales) 100.0%
f__GWE2-31-10	8	1	f__(o__Burkholderiales) 100.0%
f__UBA10212	8	1	f__(o__Burkholderiales) 100.0%
f__XYC2-FULL-47-12	8	1	f__(o__Burkholderiales) 100.0%
f__UBA4055	8	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-46-14	8	1	f__(o__Burkholderiales) 100.0%
f__UBA8473	8	1	f__(o__Burkholderiales) 100.0%
f__UBA1544	8	1	f__(o__Burkholderiales) 100.0%
f__CG1-02-43-210	8	1	f__(o__Burkholderiales) 100.0%
