GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Pseudomonas_E syringae_A	1	1	s__Pseudomonas syringae 100.0%
s__Bacillus_AA sp001509555	1	1	s__(g__Flavobacterium) 100.0%
s__Alicyclobacillus_G kakegawensis	1	1	s__Alicyclobacillus kakegawensis 100.0%
s__Christensenella_A timonensis	1	1	s__Christensenella timonensis 100.0%
s__MM1 sp001648895	1	1	s__(g__Flavobacterium) 100.0%
s__Spiribacter sp001715285	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_F aquimaris	1	1	s__Bacillus aquimaris 100.0%
s__Piscirickettsia sp001644975	1	1	s__(g__Flavobacterium) 100.0%
s__KA00274 sp001552885	1	1	s__(g__Flavobacterium) 100.0%
s__Halomonas sp001651035	1	1	s__(g__Flavobacterium) 100.0%
s__PN-J185 sp001581925	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_G horikoshii	1	1	s__Bacillus horikoshii 100.0%
s__Fictibacillus_B arsenicus_B	1	1	s__Fictibacillus arsenicus 100.0%
s__Lewinella_A sp001625015	1	1	s__(g__Flavobacterium) 100.0%
s__Hyphomicrobium_A sulfonivorans	1	1	s__Hyphomicrobium sulfonivorans 100.0%
s__Bosea sp001556025	1	1	s__(g__Flavobacterium) 100.0%
s__Erythrobacter_E namhicola	1	1	s__Altererythrobacter namhicola 100.0%
s__Amylibacter sediminis	1	1	s__Neptunicoccus sediminis 100.0%
s__Actinoplanes sp001553785	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingobacterium sp001586775	1	1	s__(g__Flavobacterium) 100.0%
s__Mitsuaria sp001653795	1	1	s__(g__Flavobacterium) 100.0%
s__Spirillospora kijaniata	1	1	s__Actinomadura kijaniata 100.0%
s__Variovorax sp001577265	1	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001667185	1	1	s__(g__Flavobacterium) 100.0%
s__Spirillospora hibisca	1	1	s__Actinomadura hibisca 100.0%
s__SWB02 sp001679665	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudarthrobacter sp001663775	1	1	s__(g__Flavobacterium) 100.0%
s__Bordetella_C sp001704295	1	1	s__(g__Flavobacterium) 100.0%
s__Hel1-33-131 sp001735745	1	1	s__(g__Flavobacterium) 100.0%
s__Rufibacter sp001577755	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E silesiensis	1	1	s__Pseudomonas silesiensis 100.0%
s__Magnetospirillum_A sp001511835	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_AK korlensis	1	1	s__Bacillus korlensis 100.0%
s__Eikenella sp001648355	1	1	s__(g__Flavobacterium) 100.0%
s__Epibacterium horizontis	1	1	s__Tritonibacter horizontis 100.0%
s__Novosphingobium sp001519065	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3537 sp001735715	1	1	s__(g__Flavobacterium) 100.0%
s__Xanthomonas_B massiliensis	1	1	s__Xanthomonas massiliensis 100.0%
s__Lysinibacillus xylanilyticus_A	1	1	s__Lysinibacillus xylanilyticus 100.0%
s__Enterocloster sp001517625	1	1	s__(g__Flavobacterium) 100.0%
s__Tropicimonas marinistellae	1	1	s__Pseudoruegeria marinistellae 100.0%
s__Defluviimonas_B alba	1	1	s__Defluviimonas alba 100.0%
s__Hydrogenovibrio sp001507535	1	1	s__(g__Flavobacterium) 100.0%
s__LPB0005 sp001637325	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingorhabdus_A sp001650955	1	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp001665255	1	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus sp001517085	1	1	s__(g__Flavobacterium) 100.0%
s__Comamonas_C sp001724135	1	1	s__(g__Flavobacterium) 100.0%
s__Arcobacter_A sp001655195	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-900066755 sp900066755	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-873 sp001689665	1	1	s__(g__Flavobacterium) 100.0%
s__Allorhizobium sp001724035	1	1	s__(g__Flavobacterium) 100.0%
s__SCGC-AG-212-J23 sp001644455	1	1	s__(g__Flavobacterium) 100.0%
s__Scalindua rubra_A	1	1	s__Candidatus Scalindua rubra 100.0%
s__SCN-69-37 sp001724025	1	1	s__(g__Flavobacterium) 100.0%
s__SCN-69-89 sp001724855	1	1	s__(g__Flavobacterium) 100.0%
s__Pelagibacter sp001704065	1	1	s__(g__Flavobacterium) 100.0%
s__Rubrivivax sp001725505	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-001730085 sp001730085	1	1	s__(g__Flavobacterium) 100.0%
s__Endobugula sertula	1	1	s__Candidatus Endobugula sertula 100.0%
s__Leisingera sp001730095	1	1	s__(g__Flavobacterium) 100.0%
s__Nostoc_B sp001698435	1	1	s__(g__Flavobacterium) 100.0%
s__Oceanicaulis sp001657295	1	1	s__(g__Flavobacterium) 100.0%
s__Aminobacter sp001724355	1	1	s__(g__Flavobacterium) 100.0%
s__Porphyrobacter sp001724215	1	1	s__(g__Flavobacterium) 100.0%
s__Rubrivivax sp001724995	1	1	s__(g__Flavobacterium) 100.0%
s__Giesbergeria sp001724785	1	1	s__(g__Flavobacterium) 100.0%
s__Moduliflexus flocculans	1	1	s__Candidatus Moduliflexus flocculans 100.0%
s__UBA1191 sp900066305	1	1	s__(g__Flavobacterium) 100.0%
s__Blautia_A sp900066505	1	1	s__(g__Flavobacterium) 100.0%
s__Arenimonas sp001724815	1	1	s__(g__Flavobacterium) 100.0%
s__Blautia_A sp900066355	1	1	s__(g__Flavobacterium) 100.0%
s__M3 sp001689445	1	1	s__(g__Flavobacterium) 100.0%
s__Serratia_C symbiotica_A	1	1	s__Serratia symbiotica 100.0%
s__GCA-001735895 sp001735895	1	1	s__(g__Flavobacterium) 100.0%
s__CSP1-5 sp001643535	1	1	s__(g__Flavobacterium) 100.0%
s__AB1-6 sp001730065	1	1	s__(g__Flavobacterium) 100.0%
s__UBA7173 sp001689485	1	1	s__(g__Flavobacterium) 100.0%
s__UBA5124 sp000503875	1	1	s__(g__Flavobacterium) 100.0%
s__SCN-69-89 sp001724315	1	1	s__(g__Flavobacterium) 100.0%
s__Propionivibrio aalborgensis	1	1	s__Candidatus Propionivibrio aalborgensis 100.0%
s__Pelagibacter sp001704055	1	1	s__(g__Flavobacterium) 100.0%
s__Anaerostipes sp900066705	1	1	s__(g__Flavobacterium) 100.0%
s__ANT-B6 sp001683905	1	1	s__(g__Flavobacterium) 100.0%
s__Phenylobacterium sp001724605	1	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp001724425	1	1	s__(g__Flavobacterium) 100.0%
s__SUP05 sp000205985	1	1	s__(g__Flavobacterium) 100.0%
s__Marinicaulis sp001657385	1	1	s__(g__Flavobacterium) 100.0%
s__Geitlerinema sp001657325	1	1	s__(g__Flavobacterium) 100.0%
s__Eperythrozoon_B haemobos	1	1	s__Candidatus Mycoplasma haemobos 100.0%
s__Luteimonas sp001683895	1	1	s__(g__Flavobacterium) 100.0%
s__Dorea sp900066765	1	1	s__(g__Flavobacterium) 100.0%
s__BBD-1991-12 sp001657315	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas_B sp001724715	1	1	s__(g__Flavobacterium) 100.0%
s__Croceibacterium sp001683845	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides sp000192415	1	1	s__(g__Flavobacterium) 100.0%
s__Vecturithrix granuli	1	1	s__Candidatus Vecturithrix granuli 100.0%
s__Muribaculum arabinoxylanisolvens	1	1	s__Candidatus Homeothermus arabinoxylanisolvens 100.0%
s__GCA-1730015 sp001730015	1	1	s__(g__Flavobacterium) 100.0%
s__Cupriavidus sp001725945	1	1	s__(g__Flavobacterium) 100.0%
s__SCN-52-12 sp001724175	1	1	s__(g__Flavobacterium) 100.0%
s__SCN-70-22 sp001724275	1	1	s__(g__Flavobacterium) 100.0%
s__Muribaculum sp001701065	1	1	s__(g__Flavobacterium) 100.0%
s__Mor1 sp001664505	1	1	s__(g__Flavobacterium) 100.0%
s__Smithella sp001683985	1	1	s__(g__Flavobacterium) 100.0%
s__SPGG5 sp001643555	1	1	s__(g__Flavobacterium) 100.0%
s__SCGC-AG-212-F23 sp001644445	1	1	s__(g__Flavobacterium) 100.0%
s__BBD-1991-14 sp001657395	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_I sp900066595	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-873 sp001689415	1	1	s__(g__Flavobacterium) 100.0%
s__Duncaniella sp001689495	1	1	s__(g__Flavobacterium) 100.0%
s__Kamptonema sp001698425	1	1	s__Oscillatoriales cyanobacterium 100.0%
s__Accumulibacter aalborgensis	1	1	s__Candidatus Accumulibacter aalborgensis 100.0%
s__SCN-57-10 sp001725215	1	1	s__(g__Flavobacterium) 100.0%
s__Phocaeicola sp900066445	1	1	s__(g__Flavobacterium) 100.0%
s__Novosphingobium sp001725355	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1394 sp900066845	1	1	s__(g__Flavobacterium) 100.0%
s__Phenylobacterium sp001724985	1	1	s__(g__Flavobacterium) 100.0%
s__Emergencia sp900066695	1	1	s__(g__Flavobacterium) 100.0%
s__Thalassotalea sp001913705	1	1	s__(g__Flavobacterium) 100.0%
s__Olsenella_E sp900119915	1	1	s__(g__Flavobacterium) 100.0%
s__Rhodanobacter sp900142825	1	1	s__(g__Flavobacterium) 100.0%
s__Streptococcus equinus_D	1	1	s__Streptococcus equinus 100.0%
s__JJ-A5 sp001890385	1	1	s__(g__Flavobacterium) 100.0%
s__Bradyrhizobium erythrophlei_B	1	1	s__Bradyrhizobium erythrophlei 100.0%
s__Bradyrhizobium erythrophlei_A	1	1	s__Bradyrhizobium erythrophlei 100.0%
s__Actinomyces oris_D	1	1	s__Actinomyces oris 100.0%
s__Serratia marcescens_F	1	1	s__Serratia marcescens 100.0%
s__Enterococcus_I aquimarinus	1	1	s__Enterococcus aquimarinus 100.0%
s__Moorella thermoacetica_A	1	1	s__Moorella thermoacetica 100.0%
s__Sporosarcina ureilytica	1	1	s__Lysinibacillus sphaericus 100.0%
s__Isoptericola_A variabilis_A	1	1	s__Isoptericola variabilis 100.0%
s__Kryptonium tengchongensis_A	1	1	s__Candidatus Kryptobacter tengchongensis 100.0%
s__Selenomonas_A ruminantium_D	1	1	s__Selenomonas ruminantium 100.0%
s__Selenomonas_A ruminantium_F	1	1	s__Selenomonas ruminantium 100.0%
s__Bacillus_W sp001866655	1	1	s__(g__Flavobacterium) 100.0%
s__Olsenella_B sp900119625	1	1	s__(g__Flavobacterium) 100.0%
s__Selenomonas_A ruminantium_E	1	1	s__Selenomonas ruminantium 100.0%
s__Curtobacterium sp001864835	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001748085	1	1	s__(g__Flavobacterium) 100.0%
s__Selenomonas_A ruminantium_C	1	1	s__Selenomonas ruminantium 100.0%
s__Selenomonas_A ruminantium_G	1	1	s__Selenomonas ruminantium 100.0%
s__Pontibacter sp001907195	1	1	s__(g__Flavobacterium) 100.0%
s__Campylobacter_A concisus_O	1	1	s__Campylobacter concisus 100.0%
s__Brachyspira hampsonii_B	1	1	s__Brachyspira hampsonii 100.0%
s__Porphyromonas_A sp001808555	1	1	s__(g__Flavobacterium) 100.0%
s__Streptococcus sp001810785	1	1	s__(g__Flavobacterium) 100.0%
s__Frankia sp001854655	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001905845	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_R aminophilum_A	1	1	s__[Clostridium] aminophilum 100.0%
s__Marinobacter sp001858325	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus flavefaciens_I	1	1	s__Ruminococcus flavefaciens 100.0%
s__Neisseria sp001809325	1	1	s__(g__Flavobacterium) 100.0%
s__Mesorhizobium_E oceanicum	1	1	s__Mesorhizobium oceanicum 100.0%
s__Streptomyces sp001905665	1	1	s__(g__Flavobacterium) 100.0%
s__Pelagibacter ubique_E	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Pelagibacter ubique_I	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Streptococcus sp001814775	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium disporicum_A	1	1	s__Clostridium disporicum 100.0%
s__Rickettsiella isopodorum	1	1	s__Candidatus Rickettsiella isopodorum 100.0%
s__Bacillus_F aquimaris_A	1	1	s__Bacillus aquimaris 100.0%
s__Alteromonas_B confluentis	1	1	s__Alteromonas confluentis 100.0%
s__Succinivibrio dextrinosolvens_B	1	1	s__Succinivibrio dextrinosolvens 100.0%
s__Pelagibacter_A ubique_A	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Singulisphaera sp900129635	1	1	s__(g__Flavobacterium) 100.0%
s__Paraburkholderia sp001922345	1	1	s__(g__Flavobacterium) 100.0%
s__Pelagibacter ubique_F	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Nitrosomonas eutropha_A	1	1	s__Nitrosomonas eutropha 100.0%
s__Geodermatophilus obscurus_A	1	1	s__Geodermatophilus obscurus 100.0%
s__Micromonospora sp001905095	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira multiformis_B	1	1	s__Nitrosospira multiformis 100.0%
s__Pelagibacter ubique_P	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Abiotrophia sp001815865	1	1	s__(g__Flavobacterium) 100.0%
s__Curtobacterium sp001865015	1	1	s__(g__Flavobacterium) 100.0%
s__Enterococcus_A hermanniensis	1	1	s__Enterococcus hermanniensis 100.0%
s__Pelagibacter ubique_K	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Moorea producens_A	1	1	s__Moorea producens 100.0%
s__Pseudomonas_E putida_L	1	1	s__Pseudomonas putida 100.0%
s__Streptomyces puniciscabiei_B	1	1	s__Streptomyces puniciscabiei 100.0%
s__Kushneria sp001854625	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira multiformis_A	1	1	s__Nitrosospira multiformis 100.0%
s__Marispirochaeta associata	1	1	s__Candidatus Marispirochaeta associata 100.0%
s__Flavobacterium johnsoniae_A	1	1	s__Flavobacterium johnsoniae 100.0%
s__Desulfovibrio piger_A	1	1	s__Desulfovibrio piger 100.0%
s__Algibacter_C aquaticus	1	1	s__Algibacter aquaticus 100.0%
s__Geodermatophilus obscurus_B	1	1	s__Geodermatophilus obscurus 100.0%
s__Tenacibaculum_A todarodis	1	1	s__Tenacibaculum todarodis 100.0%
s__Pelagibacter ubique_D	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Gleimia urinae	1	1	s__Actinomyces urinae 100.0%
s__Ruminococcus flavefaciens_P	1	1	s__Ruminococcus flavefaciens 100.0%
s__Arthrobacter_G sp001766675	1	1	s__(g__Flavobacterium) 100.0%
s__Boudabousia tangfeifanii	1	1	s__Actinomyces tangfeifanii 100.0%
s__Pelagibacter ubique_J	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Boudabousia marimammalium	1	1	s__Actinomyces marimammalium 100.0%
s__Pelagibacter ubique_A	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Nitrosomonas communis_A	1	1	s__Nitrosomonas communis 100.0%
s__Pelagibacter ubique_O	1	1	s__Candidatus Pelagibacter ubique 100.0%
s__Sinorhizobium sp001854885	1	1	s__(g__Flavobacterium) 100.0%
s__Jeongeupia sp001808185	1	1	s__(g__Flavobacterium) 100.0%
s__Nodosilinea tenue	1	1	s__Phormidium tenue 100.0%
s__Prochlorococcus_A marinus_H	1	1	s__Prochlorococcus marinus 100.0%
s__14-2 sp001940225	1	1	s__(g__Flavobacterium) 100.0%
s__Ligilactobacillus ruminis_A	1	1	s__Lactobacillus ruminis 100.0%
s__Streptomyces sp001905445	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001905905	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_AY weihaiensis	1	1	s__Bacillus weihaiensis 100.0%
s__Prevotella ruminicola_A	1	1	s__Prevotella ruminicola 100.0%
s__Pseudomonas_E abietaniphila	1	1	s__Pseudomonas abietaniphila 100.0%
s__Exiguobacterium_A sp001870785	1	1	s__(g__Flavobacterium) 100.0%
s__Phocaeicola ilei	1	1	s__Bacteroides ilei 100.0%
s__Fusibacter_A sp001748365	1	1	s__(g__Flavobacterium) 100.0%
s__Blautia sp900120295	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E punonensis	1	1	s__Pseudomonas punonensis 100.0%
s__Hyphomicrobium_A sp900117445	1	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_A marinus_K	1	1	s__Prochlorococcus marinus 100.0%
s__Bowdeniella nasicola	1	1	s__Actinomyces nasicola 100.0%
s__Streptomyces sp001746295	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudovibrio sp001941685	1	1	s__(g__Flavobacterium) 100.0%
s__Mogibacterium massiliense	1	1	s__Alterileibacterium massiliense 100.0%
s__Clostridium_AG cavendishii	1	1	s__Clostridium cavendishii 100.0%
s__Epilithonimonas zeae	1	1	s__Chryseobacterium zeae 100.0%
s__Janthinobacterium sp001865675	1	1	s__(g__Flavobacterium) 100.0%
s__Buchnera aphidicola_D	1	1	s__Buchnera aphidicola 100.0%
s__UBA6767 sp900095305	1	1	s__(g__Flavobacterium) 100.0%
s__Trichormus_A sp001858025	1	1	s__(g__Flavobacterium) 100.0%
s__Kitasatospora sp001905045	1	1	s__(g__Flavobacterium) 100.0%
s__Buchnera aphidicola_M	1	1	s__Buchnera aphidicola 100.0%
s__Streptococcus sanguinis_D	1	1	s__Streptococcus sanguinis 100.0%
s__Streptococcus sp001937065	1	1	s__(g__Flavobacterium) 100.0%
s__Roseinatronobacter thiooxidans_A	1	1	s__Natronohydrobacter thiooxidans 100.0%
s__Buchnera aphidicola_N	1	1	s__Buchnera aphidicola 100.0%
s__Shimia gijangensis	1	1	s__Pseudopelagicola gijangensis 100.0%
s__Henriciella sp001854405	1	1	s__(g__Flavobacterium) 100.0%
s__CA97-1460 sp001880225	1	1	s__(g__Flavobacterium) 100.0%
s__Prochlorococcus_A marinus_F	1	1	s__Prochlorococcus marinus 100.0%
s__Prochlorococcus_A marinus_R	1	1	s__Prochlorococcus marinus 100.0%
s__Vannielia litorea	1	1	s__Oceanicola litoreus 100.0%
s__Prochlorococcus_A marinus_C	1	1	s__Prochlorococcus marinus 100.0%
s__Bacillus_BD tuaregi	1	1	s__Bacillus tuaregi 100.0%
s__Clostridium_AF grantii	1	1	s__Clostridium grantii 100.0%
s__Neorhizobium sp001854865	1	1	s__(g__Flavobacterium) 100.0%
s__Palleronia salinus	1	1	s__Maribius salinus 100.0%
s__Frankia sp001854805	1	1	s__(g__Flavobacterium) 100.0%
s__1-19 sp001922585	1	1	s__(g__Flavobacterium) 100.0%
s__Buchnera aphidicola_K	1	1	s__Buchnera aphidicola 100.0%
s__Lachnospira pectinoschiza_B	1	1	s__Lachnospira pectinoschiza 100.0%
s__Allorhizobium oryziradicis	1	1	s__Rhizobium oryziradicis 100.0%
s__Paraburkholderia fungorum_A	1	1	s__Paraburkholderia fungorum 100.0%
s__Epilithonimonas molle	1	1	s__Chryseobacterium molle 100.0%
s__Bosea sp001748145	1	1	s__(g__Flavobacterium) 100.0%
s__Paraburkholderia phenazinium_B	1	1	s__Paraburkholderia phenazinium 100.0%
s__Buchnera aphidicola_L	1	1	s__Buchnera aphidicola 100.0%
s__Paraburkholderia phenazinium_A	1	1	s__Paraburkholderia phenazinium 100.0%
s__Pseudomonas_E frederiksbergensis_B	1	1	s__Pseudomonas frederiksbergensis 100.0%
s__Terracoccus sp001758225	1	1	s__(g__Flavobacterium) 100.0%
s__Polaromonas sp900103405	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardia mangyaensis	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces atratus_B	1	1	s__Streptomyces atratus 100.0%
s__Corynebacterium sp001812805	1	1	s__(g__Flavobacterium) 100.0%
s__Phaeospirillum fulvum_A	1	1	s__Phaeospirillum fulvum 100.0%
s__Streptomyces sp001866645	1	1	s__(g__Flavobacterium) 100.0%
s__Desertifilum sp001746915	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E argentinensis	1	1	s__Pseudomonas argentinensis 100.0%
s__Anaeroglobus massiliensis	1	1	s__Colibacter massiliensis 100.0%
s__Rhodococcus sp001767395	1	1	s__(g__Flavobacterium) 100.0%
s__Ornithinibacillus_C halophilus	1	1	s__Ornithinibacillus halophilus 100.0%
s__Luteibacter sp900119235	1	1	s__(g__Flavobacterium) 100.0%
s__Francisella sp001895265	1	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp001878835	1	1	s__(g__Flavobacterium) 100.0%
s__Varibaculum sp900106855	1	1	s__(g__Flavobacterium) 100.0%
s__Peptoniphilus_A grossensis_A	1	1	s__Peptoniphilus grossensis 100.0%
s__Streptomyces sp001905595	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_C acetireducens	1	1	s__Clostridium acetireducens 100.0%
s__Arthrobacter_I sp001750145	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001905125	1	1	s__(g__Flavobacterium) 100.0%
s__Corynebacterium sp001875665	1	1	s__(g__Flavobacterium) 100.0%
s__Roseibium suaedae	1	1	s__Labrenzia suaedae 100.0%
s__Ruminococcus_D albus_D	1	1	s__Ruminococcus albus 100.0%
s__Bradyrhizobium sp001908235	1	1	s__(g__Flavobacterium) 100.0%
s__WH-5701 sp001885215	1	1	s__(g__Flavobacterium) 100.0%
s__Exiguobacterium sp001908175	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp001895105	1	1	s__(g__Flavobacterium) 100.0%
s__Marinobacter sp001752365	1	1	s__(g__Flavobacterium) 100.0%
s__Nesterenkonia sp001758425	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp900119285	1	1	s__(g__Flavobacterium) 100.0%
s__Agrococcus sp900117395	1	1	s__(g__Flavobacterium) 100.0%
s__Alicyclobacillus_I montanus	1	1	s__Alicyclobacillus montanus 100.0%
s__Halarcobacter sp001895145	1	1	s__(g__Flavobacterium) 100.0%
s__Alicyclobacillus_H macrosporangiidus	1	1	s__Alicyclobacillus macrosporangiidus 100.0%
s__Streptomyces sp001905385	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_D albus_B	1	1	s__Ruminococcus albus 100.0%
s__Pseudomonas_E argentinensis_B	1	1	s__Pseudomonas argentinensis 100.0%
s__Porphyromonas_A sp900120395	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces_G gilvigriseus	1	1	s__Streptomyces gilvigriseus 100.0%
s__Proteiniclasticum ruminis_A	1	1	s__Proteiniclasticum ruminis 100.0%
s__Eubacterium_A sp001940235	1	1	s__(g__Flavobacterium) 100.0%
s__Colwellia_A sp001767295	1	1	s__(g__Flavobacterium) 100.0%
s__Alteromonas_A lipolytica	1	1	s__Alteromonas lipolytica 100.0%
s__Streptomyces sp001905505	1	1	s__(g__Flavobacterium) 100.0%
s__Thermosipho_A atlanticus	1	1	s__Thermosipho atlanticus 100.0%
s__Mesorhizobium sp001854785	1	1	s__(g__Flavobacterium) 100.0%
s__Olsenella_E mediterranea	1	1	s__Olsenella mediterranea 100.0%
s__Corynebacterium sp001875725	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingorhabdus_A marina	1	1	s__Sphingorhabdus marina 100.0%
s__Stenotrophomonas sp001753645	1	1	s__(g__Flavobacterium) 100.0%
s__Treponema_D bryantii_C	1	1	s__Treponema bryantii 100.0%
s__Rikenella massiliensis	1	1	s__Millionella massiliensis 100.0%
s__Collinsella aerofaciens_E	1	1	s__Collinsella aerofaciens 100.0%
s__Frigididesulfovibrio litoralis	1	1	s__Desulfovibrio litoralis 100.0%
s__Rhodoluna planktonica	1	1	s__Candidatus Rhodoluna planktonica 100.0%
s__Streptococcus sp001808705	1	1	s__(g__Flavobacterium) 100.0%
s__Olsenella_E provencensis	1	1	s__Olsenella provencensis 100.0%
s__Streptococcus sp001811505	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces_B rubidus	1	1	s__Streptomyces rubidus 100.0%
s__Streptomyces_B paucisporeus	1	1	s__Streptomyces paucisporeus 100.0%
s__Sulfitobacter sp001886735	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira sp900119085	1	1	s__(g__Flavobacterium) 100.0%
s__Massilia sp900129765	1	1	s__(g__Flavobacterium) 100.0%
s__Neisseria sp001815675	1	1	s__(g__Flavobacterium) 100.0%
s__Acidihalobacter prosperus_B	1	1	s__Acidihalobacter prosperus 100.0%
s__Paeniglutamicibacter sp001863355	1	1	s__(g__Flavobacterium) 100.0%
s__Treponema_D bryantii_A	1	1	s__Treponema bryantii 100.0%
s__Synechococcus_B spongiarum_C	1	1	s__Candidatus Synechococcus spongiarum 100.0%
s__Salinivibrio sp900141775	1	1	s__(g__Flavobacterium) 100.0%
s__Anaerococcus sp900128425	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_AA amylolyticum	1	1	s__Clostridium amylolyticum 100.0%
s__GCF-001939115 sp001939115	1	1	s__(g__Flavobacterium) 100.0%
s__F0040 sp900095835	1	1	s__(g__Flavobacterium) 100.0%
s__Roseburia sp001940165	1	1	s__(g__Flavobacterium) 100.0%
s__Calothrix sp001904745	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_D collagenovorans	1	1	s__Clostridium collagenovorans 100.0%
s__Curtobacterium sp001865065	1	1	s__(g__Flavobacterium) 100.0%
s__Desulfosporosinus sp001936615	1	1	s__(g__Flavobacterium) 100.0%
s__Peptoniphilus_A raoultii	1	1	s__Peptoniphilus raoultii 100.0%
s__Clostridium_AD estertheticum	1	1	s__Clostridium estertheticum 100.0%
s__Streptomyces sp001905365	1	1	s__(g__Flavobacterium) 100.0%
s__Planctomyces_A sp001610835	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardiopsis sp001905145	1	1	s__(g__Flavobacterium) 100.0%
s__Terriglobus roseus_B	1	1	s__Terriglobus roseus 100.0%
s__Thalassospira sp001907695	1	1	s__(g__Flavobacterium) 100.0%
s__Marseille-P2935 sp900104565	1	1	s__(g__Flavobacterium) 100.0%
s__Teredinibacter sp001922955	1	1	s__(g__Flavobacterium) 100.0%
s__SoCistrobi sp900143145	1	1	s__(g__Flavobacterium) 100.0%
s__Acidihalobacter prosperus_A	1	1	s__Acidihalobacter prosperus 100.0%
s__992a sp001940245	1	1	s__(g__Flavobacterium) 100.0%
s__Arcanobacterium_A urinimassiliense	1	1	s__Arcanobacterium urinimassiliense 100.0%
s__Polynucleobacter sp001889925	1	1	s__(g__Flavobacterium) 100.0%
s__Wolbachia pipientis_A	1	1	s__Wolbachia pipientis 100.0%
s__Baia sp900119485	1	1	s__(g__Flavobacterium) 100.0%
s__Rhodovulum sp900142935	1	1	s__(g__Flavobacterium) 100.0%
s__PCC-9228 sp001870905	1	1	s__(g__Flavobacterium) 100.0%
s__Alloactinosynnema sp900070365	1	1	s__(g__Flavobacterium) 100.0%
s__Terrisporobacter glycolicus_A	1	1	s__Terrisporobacter glycolicus 100.0%
s__Idiomarina sp001870515	1	1	s__(g__Flavobacterium) 100.0%
s__Kitasatospora sp001905465	1	1	s__(g__Flavobacterium) 100.0%
s__Fibrobacter sp900142545	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3947 sp900095445	1	1	s__(g__Flavobacterium) 100.0%
s__Allorhizobium taibaishanense	1	1	s__Rhizobium taibaishanense 100.0%
s__Pauljensenia bouchesdurhonensis	1	1	s__Actinomyces bouchesdurhonensis 100.0%
s__Hafnia alvei_B	1	1	s__Hafnia alvei 100.0%
