GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__Chitinophagales	332	5	o__Chitinophagales(c__Chitinophagia) 53.31%, o__(c__Tissierellia) 24.1%, o__Saprospirales(c__Saprospiria) 16.27%, o__Sphingobacteriales(c__Sphingobacteriia) 6.02%, o__Enterobacterales(c__Gammaproteobacteria) 0.3%	
o__Acidobacteriales	305	2	o__Acidobacteriales(c__Acidobacteriia) 89.18%, o__(c__Tissierellia) 10.82%	
o__Sphingobacteriales	301	3	o__Sphingobacteriales(c__Sphingobacteriia) 99.34%, o__(c__Tissierellia) 0.33%, o__Rhodospirillales(c__Alphaproteobacteria) 0.33%	
o__Francisellales	291	2	o__Thiotrichales 99.66%, o__(c__Tissierellia) 0.34%	
o__Treponematales	268	2	o__Spirochaetales 96.27%, o__(c__Tissierellia) 3.73%	
o__Fusobacteriales	259	2	o__Fusobacteriales 99.23%, o__(c__Tissierellia) 0.77%	
o__Tissierellales	236	5	o__Tissierellales(c__Tissierellia) 60.59%, o__(c__Tissierellia) 22.03%, o__Clostridiales 16.53%, o__Erysipelotrichales(c__Erysipelotrichia) 0.42%, o__Actinomycetales(c__Actinobacteria) 0.42%	
o__Verrucomicrobiales	231	3	o__Verrucomicrobiales 90.91%, o__(c__Tissierellia) 8.66%, o__Rickettsiales(c__Alphaproteobacteria) 0.43%	
o__Opitutales	223	3	o__(c__Tissierellia) 58.74%, o__Opitutales(c__Opitutae) 32.29%, o__Puniceicoccales(c__Opitutae) 8.97%	
o__Veillonellales	222	2	o__Veillonellales 99.55%, o__(c__Tissierellia) 0.45%	
o__Streptosporangiales	199	3	o__Streptosporangiales(c__Actinobacteria) 90.45%, o__(c__Tissierellia) 9.05%, o__Glycomycetales(c__Actinobacteria) 0.5%	
o__Desulfovibrionales	197	3	o__Desulfovibrionales(c__Deltaproteobacteria) 97.97%, o__(c__Tissierellia) 1.52%, o__Marinilabiliales(c__Bacteroidia) 0.51%	
o__Deinococcales	192	3	o__Thermales 56.77%, o__Deinococcales 42.71%, o__(c__Tissierellia) 0.52%	
o__Borreliales	184	1	o__Spirochaetales 100.0%	
o__Rhodospirillales	174	3	o__Rhodospirillales 89.66%, o__(c__Tissierellia) 8.05%, o__Rhizobiales 2.3%	
o__Anaerolineales	173	2	o__Anaerolineales 67.05%, o__(c__Tissierellia) 32.95%	
o__Balneolales	169	4	o__Balneolales(c__Balneolia) 81.66%, o__(c__Tissierellia) 17.16%, o__Chitinophagales(c__Chitinophagia) 0.59%, o__Bacteroidetes Order II. Incertae sedis(c__) 0.59%	
o__Pelagibacterales	162	3	o__Pelagibacterales 93.83%, o__(c__Tissierellia) 5.56%, o__Rickettsiales 0.62%	
o__RF39	152	6	o__(c__Tissierellia) 66.45%, o__Clostridiales(c__Clostridia) 15.13%, o__Bacillales 13.82%, o__Mycoplasmatales(c__Mollicutes) 3.29%, o__Erysipelotrichales(c__Erysipelotrichia) 0.66%, o__Acholeplasmatales(c__Mollicutes) 0.66%	
o__Chthoniobacterales	151	3	o__(c__Tissierellia) 96.03%, o__Chthoniobacterales(c__Spartobacteria) 2.65%, o__Verrucomicrobiales 1.32%	
o__Pirellulales	151	3	o__Planctomycetales(c__Planctomycetia) 86.75%, o__(c__Tissierellia) 12.58%, o__Phycisphaerales(c__Phycisphaerae) 0.66%	
o__Chromatiales	147	3	o__(c__Tissierellia) 75.51%, o__Chromatiales 23.13%, o__Thiotrichales 1.36%	
o__Saccharimonadales	146	1	o__(c__Tissierellia) 100.0%	
o__Methylococcales	145	3	o__Methylococcales 84.83%, o__Thiotrichales 12.41%, o__(c__Tissierellia) 2.76%	
o__Paceibacterales	142	1	o__(c__Tissierellia) 100.0%	
o__RFN20	134	4	o__Bacillales 62.69%, o__(c__Tissierellia) 26.87%, o__Erysipelotrichales(c__Erysipelotrichia) 8.21%, o__Clostridiales(c__Clostridia) 2.24%	
