GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__UBA12225	4	1	o__(c__Tissierellia) 100.0%	
o__PGYV01	4	1	o__(c__Tissierellia) 100.0%	
o__Zavarziniales	4	1	o__Rhodospirillales 100.0%	
o__Defferisomatales	4	1	o__(c__Tissierellia) 100.0%	
o__Gp7-AA8	4	1	o__(c__Tissierellia) 100.0%	
o__Fen-336	4	1	o__(c__Tissierellia) 100.0%	
o__SZUA-161	4	1	o__(c__Tissierellia) 100.0%	
o__UBA11346	4	1	o__(c__Tissierellia) 100.0%	
o__B70-G9	4	1	o__(c__Tissierellia) 100.0%	
o__SLND01	4	1	o__(c__Tissierellia) 100.0%	
o__SLMS01	4	1	o__(c__Tissierellia) 100.0%	
o__SLRQ01	4	1	o__(c__Tissierellia) 100.0%	
o__CACIAM-69d	4	2	o__Synechococcales(c__) 75.0%, o__Oscillatoriales(c__) 25.0%	
o__Lutisporales	4	2	o__Clostridiales 75.0%, o__(c__Tissierellia) 25.0%	
o__HGW-17	4	2	o__(c__Tissierellia) 75.0%, o__Myxococcales(c__Deltaproteobacteria) 25.0%	
o__UBA2966	4	2	o__(c__Tissierellia) 75.0%, o__Rhodospirillales 25.0%	
o__Tenderiales	4	2	o__(c__Tissierellia) 75.0%, o__Chromatiales 25.0%	
o__UBA4142	4	2	o__Anaerolineales 75.0%, o__(c__Tissierellia) 25.0%	
o__Ferrovibrionales	4	2	o__Rhodospirillales 75.0%, o__(c__Tissierellia) 25.0%	
o__4572-78	4	2	o__(c__Tissierellia) 75.0%, o__Anaerolineales 25.0%	
o__21-64-14	4	2	o__(c__Tissierellia) 75.0%, o__Chromatiales 25.0%	
o__Immundisolibacterales	4	2	o__(c__Tissierellia) 75.0%, o__Immundisolibacterales 25.0%	
o__SM23-32	4	2	o__Candidatus Brocadiales 75.0%, o__(c__Tissierellia) 25.0%	
o__SBBL01	4	2	o__Nitrospirales(c__Nitrospira) 75.0%, o__(c__Tissierellia) 25.0%	
o__Acidulodesulfobacterales	4	2	o__Candidatus Acidulodesulfobacterales(c__Deltaproteobacteria) 75.0%, o__(c__Tissierellia) 25.0%	
o__Calditrichales	4	2	o__Calditrichales(c__Calditrichae) 50.0%, o__(c__Tissierellia) 50.0%	
o__UBA1062	4	2	o__(c__Tissierellia) 50.0%, o__Syntrophobacterales(c__Deltaproteobacteria) 50.0%	
o__UBA6777	4	2	o__Myxococcales(c__Deltaproteobacteria) 50.0%, o__(c__Tissierellia) 50.0%	
o__UBA3567	4	3	o__(c__Tissierellia) 50.0%, o__Thermoanaerobacterales(c__Clostridia) 25.0%, o__Clostridiales(c__Clostridia) 25.0%	
o__UBA7937	4	2	o__Anaerolineales 50.0%, o__(c__Tissierellia) 50.0%	
o__Chloracidobacteriales	3	1	o__(c__Tissierellia) 100.0%	
o__Thermodesulfobiales	3	1	o__Thermoanaerobacterales(c__Clostridia) 100.0%	
o__SM1-40	3	1	o__(c__Tissierellia) 100.0%	
o__B142	3	1	o__(c__Tissierellia) 100.0%	
o__Entotheonellales	3	1	o__(c__Tissierellia) 100.0%	
o__DTU014	3	1	o__(c__Tissierellia) 100.0%	
o__DTU030	3	1	o__(c__Tissierellia) 100.0%	
o__Moduliflexales	3	1	o__(c__Tissierellia) 100.0%	
o__GCA-001735895	3	1	o__(c__Tissierellia) 100.0%	
o__2-12-FULL-50-11	3	1	o__(c__Tissierellia) 100.0%	
o__Spechtbacterales	3	1	o__(c__Tissierellia) 100.0%	
o__RBG-13-55-18	3	1	o__(c__Tissierellia) 100.0%	
o__UBA9980	3	1	o__(c__Tissierellia) 100.0%	
o__XYB2-FULL-38-15	3	1	o__(c__Tissierellia) 100.0%	
o__UBA8481	3	1	o__(c__Tissierellia) 100.0%	
o__2-01-FULL-39-13	3	1	o__(c__Tissierellia) 100.0%	
o__GCA-001788215	3	1	o__(c__Tissierellia) 100.0%	
o__CG1-02-64-396	3	1	o__(c__Tissierellia) 100.0%	
o__CG2-30-40-12	3	1	o__(c__Tissierellia) 100.0%	
o__MVCY01	3	1	o__(c__Tissierellia) 100.0%	
o__4484-211	3	1	o__(c__Tissierellia) 100.0%	
o__F11	3	1	o__(c__Tissierellia) 100.0%	
o__Selenomonadales_A	3	1	o__Selenomonadales 100.0%	
o__UBA3054	3	1	o__(c__Tissierellia) 100.0%	
o__UBA1127	3	1	o__(c__Tissierellia) 100.0%	
o__UBA994	3	1	o__(c__Tissierellia) 100.0%	
o__UBA6098	3	1	o__(c__Tissierellia) 100.0%	
o__UBA11872	3	1	o__(c__Tissierellia) 100.0%	
o__UBA3088	3	1	o__(c__Tissierellia) 100.0%	
o__UBA2201	3	1	o__Holophagales(c__Holophagae) 100.0%	
o__UBA9087	3	1	o__(c__Tissierellia) 100.0%	
o__GCA-2863065	3	1	o__(c__Tissierellia) 100.0%	
o__UBA1875	3	1	o__(c__Tissierellia) 100.0%	
o__Fen-727	3	1	o__(c__Tissierellia) 100.0%	
o__UBA2200	3	1	o__Anaerolineales 100.0%	
o__UBA7976	3	1	o__Myxococcales(c__Deltaproteobacteria) 100.0%	
o__UBA727	3	1	o__Myxococcales(c__Deltaproteobacteria) 100.0%	
o__UBA1113	3	1	o__Legionellales 100.0%	
o__UBA4575	3	1	o__(c__Tissierellia) 100.0%	
o__UBA6595	3	1	o__(c__Tissierellia) 100.0%	
o__UBA2466	3	1	o__Bdellovibrionales(c__Oligoflexia) 100.0%	
o__UBA6262	3	1	o__(c__Tissierellia) 100.0%	
o__UBA1161	3	1	o__Phycisphaerales 100.0%	
o__BMS3Abin14	3	1	o__(c__Tissierellia) 100.0%	
o__SZUA-336	3	1	o__(c__Tissierellia) 100.0%	
o__Palsa-1180	3	1	o__(c__Tissierellia) 100.0%	
o__HR10	3	1	o__(c__Tissierellia) 100.0%	
o__UBA8346	3	1	o__(c__Tissierellia) 100.0%	
o__B68-G9	3	1	o__(c__Tissierellia) 100.0%	
o__PUPC01	3	1	o__(c__Tissierellia) 100.0%	
o__PWVN01	3	1	o__Clostridiales(c__Clostridia) 100.0%	
o__B26-G2	3	1	o__(c__Tissierellia) 100.0%	
o__AC-67	3	1	o__(c__Tissierellia) 100.0%	
o__E44-bin80	3	1	o__(c__Tissierellia) 100.0%	
o__SMXP01	3	1	o__(c__Tissierellia) 100.0%	
o__RP-AC37	3	1	o__Frankiales(c__Actinobacteria) 100.0%	
o__ZOR0006	3	2	o__(c__Tissierellia) 66.67%, o__Erysipelotrichales(c__Erysipelotrichia) 33.33%	
o__Ardenticatenales	3	2	o__Ardenticatenales(c__Ardenticatenia) 66.67%, o__(c__Tissierellia) 33.33%	
o__Elsterales	3	2	o__Rhodospirillales 66.67%, o__(c__Tissierellia) 33.33%	
o__DTU086	3	2	o__Clostridiales(c__Clostridia) 66.67%, o__(c__Tissierellia) 33.33%	
o__Brevinematales	3	2	o__(c__Tissierellia) 66.67%, o__Brevinematales(c__Spirochaetia) 33.33%	
o__UBA9339	3	2	o__(c__Tissierellia) 66.67%, o__Legionellales 33.33%	
o__UBA3071	3	2	o__(c__Tissierellia) 66.67%, o__Anaerolineales 33.33%	
o__TC1	3	2	o__(c__Tissierellia) 66.67%, o__Clostridiales(c__Clostridia) 33.33%	
o__Limnochordales	3	2	o__(c__Tissierellia) 66.67%, o__Limnochordales 33.33%	
o__UBA9615	3	2	o__(c__Tissierellia) 66.67%, o__Rickettsiales(c__Alphaproteobacteria) 33.33%	
o__UBA3561	3	2	o__(c__Tissierellia) 66.67%, o__Clostridiales(c__Clostridia) 33.33%	
o__GCA-2701885	3	2	o__Rhodospirillales 66.67%, o__(c__Tissierellia) 33.33%	
o__UBA3569	3	2	o__(c__Tissierellia) 66.67%, o__Clostridiales(c__Clostridia) 33.33%	
o__Sumerlaeales	3	2	o__(c__Tissierellia) 66.67%, o__Candidatus Sumerlaeales 33.33%	
o__Bin65	3	2	o__Rhodospirillales 66.67%, o__Holosporales 33.33%	
o__UBA7966	3	2	o__(c__Tissierellia) 66.67%, o__Chromatiales 33.33%	
o__SZUA-365	3	2	o__(c__Tissierellia) 66.67%, o__Chromatiales(c__Gammaproteobacteria) 33.33%	
o__SZUA-140	3	2	o__(c__Tissierellia) 66.67%, o__Chromatiales 33.33%	
o__Symbiobacteriales	3	2	o__(c__Tissierellia) 66.67%, o__Clostridiales(c__Clostridia) 33.33%	
o__UBA9673	3	2	o__Clostridiales(c__Clostridia) 66.67%, o__(c__Tissierellia) 33.33%	
o__Micavibrionales_A	3	2	o__Rhodospirillales 66.67%, o__(c__Tissierellia) 33.33%	
o__XYA12-FULL-58-9	3	2	o__Bdellovibrionales(c__Oligoflexia) 66.67%, o__(c__Tissierellia) 33.33%	
o__Caenarcaniphilales	3	2	o__(c__Tissierellia) 66.67%, o__Candidatus Caenarcaniphilales(c__) 33.33%	
o__PWKZ01	3	2	o__Myxococcales(c__Deltaproteobacteria) 66.67%, o__Bradymonadales(c__Deltaproteobacteria) 33.33%	
o__Thiohalospirales	3	2	o__(c__Tissierellia) 66.67%, o__Chromatiales 33.33%	
o__SLOV01	3	2	o__(c__Tissierellia) 66.67%, o__Kiritimatiellales 33.33%	
o__Minwuiales	3	2	o__Minwuiales 66.67%, o__Rhizobiales 33.33%	
o__Spirochaetales_A	2	1	o__Spirochaetales 100.0%	
o__Anaeromusales	2	1	o__Selenomonadales 100.0%	
o__Caldalkalibacillales	2	1	o__Bacillales 100.0%	
o__PCC-9006	2	1	o__Synechococcales(c__) 100.0%	
o__Desulfitibacterales	2	1	o__Clostridiales(c__Clostridia) 100.0%	
o__Heliobacteriales	2	1	o__Clostridiales(c__Clostridia) 100.0%	
o__Thiohalorhabdales	2	1	o__(c__Tissierellia) 100.0%	
o__Kyrpidiales	2	1	o__Bacillales(c__Bacilli) 100.0%	
o__SM23-31	2	1	o__(c__Tissierellia) 100.0%	
o__GBS-1	2	1	o__(c__Tissierellia) 100.0%	
o__Desulfuribacillales	2	1	o__Bacillales(c__Bacilli) 100.0%	
o__Proteinivoracales	2	1	o__Clostridiales(c__Clostridia) 100.0%	
o__GWB1-36-13	2	1	o__(c__Tissierellia) 100.0%	
o__2-12-FULL-37-12	2	1	o__(c__Tissierellia) 100.0%	
o__XYA2-FULL-43-10	2	1	o__(c__Tissierellia) 100.0%	
o__2-12-FULL-62-27	2	1	o__(c__Tissierellia) 100.0%	
o__Bacillales_F	2	1	o__Bacillales 100.0%	
o__2-12-FULL-54-10	2	1	o__(c__Tissierellia) 100.0%	
o__54-19	2	1	o__(c__Tissierellia) 100.0%	
o__RBG-16-64-13	2	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-51-18	2	1	o__(c__Tissierellia) 100.0%	
o__Hydrothermales	2	1	o__(c__Tissierellia) 100.0%	
o__AABM5-25-91	2	1	o__(c__Tissierellia) 100.0%	
o__JdFR-78	2	1	o__(c__Tissierellia) 100.0%	
o__4484-213	2	1	o__(c__Tissierellia) 100.0%	
o__UBA5359	2	1	o__(c__Tissierellia) 100.0%	
o__Bin61	2	1	o__(c__Tissierellia) 100.0%	
o__UBA4473	2	1	o__(c__Tissierellia) 100.0%	
o__UBA5214	2	1	o__(c__Tissierellia) 100.0%	
o__UBA5177	2	1	o__(c__Tissierellia) 100.0%	
o__UBA2985	2	1	o__(c__Tissierellia) 100.0%	
o__Bin125	2	1	o__(c__Tissierellia) 100.0%	
o__UBA1384	2	1	o__(c__Tissierellia) 100.0%	
o__UBA2247	2	1	o__(c__Tissierellia) 100.0%	
o__UM-FILTER-43-11	2	1	o__(c__Tissierellia) 100.0%	
o__GCA-002796325	2	1	o__(c__Tissierellia) 100.0%	
o__UM-FILTER-49-7	2	1	o__(c__Tissierellia) 100.0%	
o__UBA6729	2	1	o__(c__Tissierellia) 100.0%	
o__UBA6191	2	1	o__(c__Tissierellia) 100.0%	
o__UBA3505	2	1	o__Myxococcales(c__Deltaproteobacteria) 100.0%	
o__UBA228	2	1	o__Deferribacterales 100.0%	
o__UBA4092	2	1	o__(c__Tissierellia) 100.0%	
o__UBA2766	2	1	o__(c__Tissierellia) 100.0%	
o__UBA8890	2	1	o__(c__Tissierellia) 100.0%	
o__UBA6952	2	1	o__(c__Tissierellia) 100.0%	
o__UBA7656	2	1	o__(c__Tissierellia) 100.0%	
o__16-39-46	2	1	o__(c__Tissierellia) 100.0%	
o__UBA2392	2	1	o__(c__Tissierellia) 100.0%	
o__UBA6077	2	1	o__(c__Tissierellia) 100.0%	
o__SZUA-182	2	1	o__(c__Tissierellia) 100.0%	
o__SZUA-21	2	1	o__(c__Tissierellia) 100.0%	
o__SZUA-567	2	1	o__(c__Tissierellia) 100.0%	
o__Palsa-1295	2	1	o__(c__Tissierellia) 100.0%	
o__SW-4-49-11	2	1	o__(c__Tissierellia) 100.0%	
o__UMGS1883	2	1	o__Clostridiales 100.0%	
o__PUNC01	2	1	o__(c__Tissierellia) 100.0%	
o__T1Sed10-126	2	1	o__(c__Tissierellia) 100.0%	
o__J045	2	1	o__(c__Tissierellia) 100.0%	
o__UBA12178	2	1	o__(c__Tissierellia) 100.0%	
o__UBA12015	2	1	o__(c__Tissierellia) 100.0%	
o__SURF-5	2	1	o__(c__Tissierellia) 100.0%	
o__B3-LCP	2	1	o__(c__Tissierellia) 100.0%	
o__Termititenacales	2	1	o__Candidatus Termititenacales 100.0%	
o__SYMT01	2	1	o__(c__Tissierellia) 100.0%	
o__SMYD01	2	1	o__(c__Tissierellia) 100.0%	
o__QZLD01	2	1	o__(c__Tissierellia) 100.0%	
o__SORT01	2	1	o__(c__Tissierellia) 100.0%	
o__Turneriellales	2	2	o__Leptospirales(c__Spirochaetia) 50.0%, o__(c__Tissierellia) 50.0%	
o__Acidothermales	2	2	o__Acidothermales(c__Actinobacteria) 50.0%, o__(c__Tissierellia) 50.0%	
o__HK1	2	2	o__Chromatiales 50.0%, o__(c__Tissierellia) 50.0%	
o__Desulfofervidales	2	2	o__Syntrophobacterales(c__Deltaproteobacteria) 50.0%, o__(c__Tissierellia) 50.0%	
o__SM23-61	2	2	o__(c__Tissierellia) 50.0%, o__Syntrophobacterales(c__Deltaproteobacteria) 50.0%	
o__PH28-bin88	2	2	o__Clostridiales(c__Clostridia) 50.0%, o__(c__Tissierellia) 50.0%	
o__Thermosulfidibacterales	2	2	o__Aquificales(c__Aquificae) 50.0%, o__(c__Tissierellia) 50.0%	
o__MHYJ01	2	2	o__(c__Tissierellia) 50.0%, o__Planctomycetales(c__Planctomycetia) 50.0%	
o__Micavibrionales_B	2	2	o__(c__Tissierellia) 50.0%, o__Rhodospirillales 50.0%	
o__SK-Y3	2	2	o__Clostridiales 50.0%, o__(c__Tissierellia) 50.0%	
o__UBA2394	2	2	o__Bacteriovoracales(c__Oligoflexia) 50.0%, o__(c__Tissierellia) 50.0%	
o__GCA-2731375	2	2	o__(c__Tissierellia) 50.0%, o__Rhodospirillales 50.0%	
o__UBA1149	2	2	o__(c__Tissierellia) 50.0%, o__Myxococcales(c__Deltaproteobacteria) 50.0%	
o__UBA995	2	2	o__(c__Tissierellia) 50.0%, o__Clostridiales(c__Clostridia) 50.0%	
o__SP197	2	2	o__Rhodospirillales 50.0%, o__(c__Tissierellia) 50.0%	
o__UBA3575	2	2	o__(c__Tissierellia) 50.0%, o__Clostridiales(c__Clostridia) 50.0%	
o__Bin18	2	2	o__Desulfurellales(c__Deltaproteobacteria) 50.0%, o__(c__Tissierellia) 50.0%	
o__Abditibacteriales	2	2	o__Abditibacteriales 50.0%, o__(c__Tissierellia) 50.0%	
o__Capsulimonadales	2	2	o__(c__Tissierellia) 50.0%, o__Capsulimonadales(c__Armatimonadia) 50.0%	
o__BMS3ABIN01	2	2	o__(c__Tissierellia) 50.0%, o__Gaiellales(c__Rubrobacteria) 50.0%	
o__UBA8153	2	2	o__Clostridiales(c__Clostridia) 50.0%, o__(c__Tissierellia) 50.0%	
o__Poseidoniales	2	2	o__Rhizobiales(c__Alphaproteobacteria) 50.0%, o__Verrucomicrobiales(c__Verrucomicrobiae) 50.0%	
o__Desulfomonilales	1	1	o__Syntrophobacterales(c__Deltaproteobacteria) 100.0%	
o__Rubeoparvulales	1	1	o__Bacillales 100.0%	
o__Mahellales	1	1	o__Thermoanaerobacterales(c__Clostridia) 100.0%	
o__Calditerricolales	1	1	o__Bacillales 100.0%	
o__PCC-7407	1	1	o__Oscillatoriales(c__) 100.0%	
o__Neosynechococcales	1	1	o__Synechococcales(c__) 100.0%	
o__HTCC5015	1	1	o__(c__Tissierellia) 100.0%	
o__Thermobaculales	1	1	o__(c__Tissierellia) 100.0%	
o__SDB-A	1	1	o__Desulfuromonadales(c__Deltaproteobacteria) 100.0%	
o__DG-27	1	1	o__(c__Tissierellia) 100.0%	
o__SM23-81	1	1	o__(c__Tissierellia) 100.0%	
o__DG-23	1	1	o__(c__Tissierellia) 100.0%	
o__GWA2-38-13b	1	1	o__(c__Tissierellia) 100.0%	
o__OLB16	1	1	o__(c__Tissierellia) 100.0%	
o__OLB7	1	1	o__(c__Tissierellia) 100.0%	
o__Adiutricales	1	1	o__(c__Tissierellia) 100.0%	
o__LBFQ01	1	1	o__(c__Tissierellia) 100.0%	
o__DTU087	1	1	o__Clostridiales(c__Clostridia) 100.0%	
o__Latescibacterales	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-001730085	1	1	o__(c__Tissierellia) 100.0%	
o__Mor1	1	1	o__(c__Tissierellia) 100.0%	
o__Gloeomargaritales	1	1	o__Gloeoemargaritales(c__) 100.0%	
o__Neosynechococcales_A	1	1	o__Synechococcales(c__) 100.0%	
o__9FT-COMBO-42-15	1	1	o__(c__Tissierellia) 100.0%	
o__2-01-FULL-59-12	1	1	o__(c__Tissierellia) 100.0%	
o__RBG-16-64-22	1	1	o__(c__Tissierellia) 100.0%	
o__43-37	1	1	o__(c__Tissierellia) 100.0%	
o__RBG-16-55-9	1	1	o__(c__Tissierellia) 100.0%	
o__UBA8477	1	1	o__(c__Tissierellia) 100.0%	
o__AqS3	1	1	o__(c__Tissierellia) 100.0%	
o__AqS2	1	1	o__(c__Tissierellia) 100.0%	
o__O2-12-FULL-43-9	1	1	o__(c__Tissierellia) 100.0%	
o__2-12-FULL-45-22	1	1	o__(c__Tissierellia) 100.0%	
o__9FT-COMBO-53-11	1	1	o__(c__Tissierellia) 100.0%	
o__RBG-16-42-10	1	1	o__(c__Tissierellia) 100.0%	
o__2-01-FULL-47-10	1	1	o__(c__Tissierellia) 100.0%	
o__GWF2-35-9	1	1	o__(c__Tissierellia) 100.0%	
o__2-01-FULL-66-17	1	1	o__(c__Tissierellia) 100.0%	
o__GWA2-58-10	1	1	o__(c__Tissierellia) 100.0%	
o__RBG-13-43-22	1	1	o__(c__Tissierellia) 100.0%	
o__2-12-FULL-49-11	1	1	o__(c__Tissierellia) 100.0%	
o__YA12-FULL-61-11	1	1	o__(c__Tissierellia) 100.0%	
o__2-02-FULL-49-11	1	1	o__(c__Tissierellia) 100.0%	
o__CG2-30-54-11	1	1	o__(c__Tissierellia) 100.0%	
o__RBG-13-61-14	1	1	o__(c__Tissierellia) 100.0%	
o__RBG-13-66-14	1	1	o__(c__Tissierellia) 100.0%	
o__GCF-002020875	1	1	o__(c__Tissierellia) 100.0%	
o__4484-49	1	1	o__(c__Tissierellia) 100.0%	
o__JdFR-97	1	1	o__Desulfarculales(c__Deltaproteobacteria) 100.0%	
o__JdFR-54	1	1	o__Dehalococcoidales 100.0%	
o__4484-107	1	1	o__(c__Tissierellia) 100.0%	
o__AABM5-125-24	1	1	o__(c__Tissierellia) 100.0%	
o__4572-55	1	1	o__(c__Tissierellia) 100.0%	
o__4484-93	1	1	o__(c__Tissierellia) 100.0%	
o__4484-113	1	1	o__Planctomycetales(c__Planctomycetia) 100.0%	
o__Enterobacterales_A	1	1	o__(c__Tissierellia) 100.0%	
o__Dehalobacteriales	1	1	o__Clostridiales(c__Clostridia) 100.0%	
o__Calderihabitantales	1	1	o__Thermoanaerobacterales(c__Clostridia) 100.0%	
o__UBA7702	1	1	o__Clostridiales(c__Clostridia) 100.0%	
o__UBA5435	1	1	o__(c__Tissierellia) 100.0%	
o__Porisulfidales	1	1	o__Chromatiales 100.0%	
o__GCA-2717565	1	1	o__(c__Tissierellia) 100.0%	
o__UBA4820	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2747255	1	1	o__(c__Tissierellia) 100.0%	
o__UBA7366	1	1	o__Legionellales 100.0%	
o__UBA6099	1	1	o__(c__Tissierellia) 100.0%	
o__UBA3830	1	1	o__Holosporales 100.0%	
o__UBA4733	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2747355	1	1	o__(c__Tissierellia) 100.0%	
o__UBA6266	1	1	o__(c__Tissierellia) 100.0%	
o__UBA2565	1	1	o__(c__Tissierellia) 100.0%	
o__UBA11029	1	1	o__(c__Tissierellia) 100.0%	
o__UBA5859	1	1	o__Thiotrichales 100.0%	
o__GCA-2746255	1	1	o__Rhodospirillales 100.0%	
o__GCA-2400775	1	1	o__(c__Tissierellia) 100.0%	
o__UBA11136	1	1	o__Rhodospirillales 100.0%	
o__0-14-0-20-40-13	1	1	o__(c__Tissierellia) 100.0%	
o__UBA10988	1	1	o__(c__Tissierellia) 100.0%	
o__UBA2770	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2687025	1	1	o__(c__Tissierellia) 100.0%	
o__Bin95	1	1	o__(c__Tissierellia) 100.0%	
o__UBA7526	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2686955	1	1	o__(c__Tissierellia) 100.0%	
o__ARS69	1	1	o__(c__Tissierellia) 100.0%	
o__1-14-2-50-48-13	1	1	o__(c__Tissierellia) 100.0%	
o__UBA5829	1	1	o__(c__Tissierellia) 100.0%	
o__UBA2562	1	1	o__(c__Tissierellia) 100.0%	
o__UBA6919	1	1	o__(c__Tissierellia) 100.0%	
o__UBA2428	1	1	o__Bacteriovoracales(c__Oligoflexia) 100.0%	
o__UBA2233	1	1	o__(c__Tissierellia) 100.0%	
o__UBA1444	1	1	o__(c__Tissierellia) 100.0%	
o__UBA1439	1	1	o__(c__Tissierellia) 100.0%	
o__1-14-0-20-64-10	1	1	o__(c__Tissierellia) 100.0%	
o__UBA6186	1	1	o__Thiotrichales 100.0%	
o__NMUJ01	1	1	o__(c__Tissierellia) 100.0%	
o__PEYW01	1	1	o__(c__Tissierellia) 100.0%	
o__UBA6184	1	1	o__Holosporales 100.0%	
o__1-14-0-20-42-13	1	1	o__(c__Tissierellia) 100.0%	
o__UBA1398	1	1	o__(c__Tissierellia) 100.0%	
o__UBA6926	1	1	o__(c__Tissierellia) 100.0%	
o__UBA1874	1	1	o__(c__Tissierellia) 100.0%	
o__0-14-0-80-59-12	1	1	o__Ignavibacteriales(c__Ignavibacteria) 100.0%	
o__UBA7883	1	1	o__Nitrospinales(c__Nitrospinia) 100.0%	
o__UBA5070	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2746535	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2401425	1	1	o__(c__Tissierellia) 100.0%	
o__UBA5301	1	1	o__(c__Tissierellia) 100.0%	
o__UBA6002	1	1	o__Legionellales 100.0%	
o__MC1	1	1	o__Rickettsiales 100.0%	
o__Bin98	1	1	o__(c__Tissierellia) 100.0%	
o__UM-FILTER-46-8	1	1	o__(c__Tissierellia) 100.0%	
o__GCA-2792135	1	1	o__(c__Tissierellia) 100.0%	
o__PHAN01	1	1	o__(c__Tissierellia) 100.0%	
o__FEN-1099	1	1	o__(c__Tissierellia) 100.0%	
o__Azospirillales_A	1	1	o__Rhodospirillales 100.0%	
o__Eremiobacterales	1	1	o__(c__Tissierellia) 100.0%	
o__BM002	1	1	o__Desulfobacterales(c__Deltaproteobacteria) 100.0%	
o__SZUA-242	1	1	o__(c__Tissierellia) 100.0%	
o__SZUA-149	1	1	o__(c__Tissierellia) 100.0%	
o__SZUA-146	1	1	o__(c__Tissierellia) 100.0%	
o__SAR202-VII-2	1	1	o__(c__Tissierellia) 100.0%	
o__QHYA01	1	1	o__(c__Tissierellia) 100.0%	
o__HRBIN30	1	1	o__(c__Tissierellia) 100.0%	
o__RUG730	1	1	o__(c__Tissierellia) 100.0%	
o__Muirbacteriales	1	1	o__(c__Tissierellia) 100.0%	
o__BMS3BBIN04	1	1	o__(c__Tissierellia) 100.0%	
o__BM003	1	1	o__Chromatiales 100.0%	
o__HRBIN11	1	1	o__(c__Tissierellia) 100.0%	
o__HRBIN17	1	1	o__(c__Tissierellia) 100.0%	
o__FEN-1388	1	1	o__(c__Tissierellia) 100.0%	
o__HRBIN16	1	1	o__(c__Tissierellia) 100.0%	
o__FEN-1346	1	1	o__(c__Tissierellia) 100.0%	
o__UMGS1810	1	1	o__Clostridiales 100.0%	
o__UMGS1840	1	1	o__Clostridiales 100.0%	
o__RES148	1	1	o__Bacillales 100.0%	
o__UMGS1260	1	1	o__Selenomonadales 100.0%	
o__B26-G9	1	1	o__(c__Tissierellia) 100.0%	
o__B28-G17	1	1	o__(c__Tissierellia) 100.0%	
o__UCB3	1	1	o__(c__Tissierellia) 100.0%	
o__QNFN01	1	1	o__(c__Tissierellia) 100.0%	
o__UBA8349	1	1	o__(c__Tissierellia) 100.0%	
o__QNDG01	1	1	o__(c__Tissierellia) 100.0%	
o__B62-G9	1	1	o__(c__Tissierellia) 100.0%	
o__QNFE01	1	1	o__(c__Tissierellia) 100.0%	
o__UBA9089	1	1	o__(c__Tissierellia) 100.0%	
o__J088	1	1	o__(c__Tissierellia) 100.0%	
o__J058	1	1	o__(c__Tissierellia) 100.0%	
o__PWPR01	1	1	o__(c__Tissierellia) 100.0%	
o__B21-G15	1	1	o__(c__Tissierellia) 100.0%	
o__UBA11236	1	1	o__(c__Tissierellia) 100.0%	
o__J132	1	1	o__(c__Tissierellia) 100.0%	
o__ATN3	1	1	o__(c__Tissierellia) 100.0%	
o__J103	1	1	o__(c__Tissierellia) 100.0%	
o__J113	1	1	o__(c__Tissierellia) 100.0%	
o__PIWD01	1	1	o__(c__Tissierellia) 100.0%	
o__T1SED10-198M	1	1	o__(c__Tissierellia) 100.0%	
o__B119-G9	1	1	o__(c__Tissierellia) 100.0%	
o__UBA12135	1	1	o__(c__Tissierellia) 100.0%	
o__QNBC01	1	1	o__(c__Tissierellia) 100.0%	
o__CSSED10-310	1	1	o__(c__Tissierellia) 100.0%	
o__B21-G9	1	1	o__Thermotogales 100.0%	
o__B22-G15	1	1	o__(c__Tissierellia) 100.0%	
o__B3-G13	1	1	o__Thermotogales 100.0%	
o__J025	1	1	o__(c__Tissierellia) 100.0%	
o__J040	1	1	o__(c__Tissierellia) 100.0%	
o__PIVX01	1	1	o__(c__Tissierellia) 100.0%	
o__UBA12247	1	1	o__(c__Tissierellia) 100.0%	
o__RPQS01	1	1	o__(c__Tissierellia) 100.0%	
o__J057	1	1	o__(c__Tissierellia) 100.0%	
o__J002	1	1	o__(c__Tissierellia) 100.0%	
o__J063	1	1	o__(c__Tissierellia) 100.0%	
o__SURF-47	1	1	o__(c__Tissierellia) 100.0%	
o__B130-G9	1	1	o__(c__Tissierellia) 100.0%	
o__B64-G9	1	1	o__(c__Tissierellia) 100.0%	
o__B129-G9	1	1	o__(c__Tissierellia) 100.0%	
o__NPL-UPA2	1	1	o__(c__Tissierellia) 100.0%	
o__SURF-8	1	1	o__Myxococcales(c__Deltaproteobacteria) 100.0%	
o__SURF-12	1	1	o__(c__Tissierellia) 100.0%	
o__UBA11222	1	1	o__(c__Tissierellia) 100.0%	
o__SURF-26	1	1	o__(c__Tissierellia) 100.0%	
o__SURF-38	1	1	o__(c__Tissierellia) 100.0%	
o__B143-G9	1	1	o__(c__Tissierellia) 100.0%	
o__UBA9088	1	1	o__(c__Tissierellia) 100.0%	
